item_id	sum
536047	328
278589	271
79531	238
343377	183
460717	148
266412	128
437245	120
365608	112
499178	101
419011	100
470426	99
315676	98
84304	95
468120	95
117018	88
72465	85
542469	82
110711	81
471520	79
335428	75
152021	72
291669	71
434392	71
472040	70
625711	69
313851	67
16356	66
175200	66
299236	65
579292	65
57147	61
35677	60
90273	60
507069	60
554760	59
47583	58
486936	58
265522	57
288342	57
18872	56
374376	55
415358	54
447985	54
43306	53
248625	53
457843	53
569889	53
466597	52
546415	52
436574	51
366927	50
595729	49
166946	48
295666	48
300233	47
306857	47
162125	46
186124	46
399596	45
638712	44
50457	43
184517	43
205039	43
215982	43
385493	43
295435	42
295634	42
445231	41
461272	41
549267	41
78338	40
381044	40
399435	40
410414	40
493460	40
41406	39
77400	39
92053	39
194241	39
226749	39
228623	39
244777	39
472594	39
592559	39
611103	39
636889	39
75845	38
506539	38
127750	37
129847	37
172858	37
204410	37
549843	37
35932	36
134458	36
161269	36
177825	36
294812	36
354268	36
387201	36
412368	36
158526	35
235378	35
477856	35
535530	35
606905	35
8534	34
77575	34
153323	34
170673	34
215326	34
410070	34
475121	34
612155	34
619132	34
3236	33
145464	33
300053	33
473429	33
515119	33
533554	33
568191	33
76761	32
78655	32
100805	32
107638	32
190337	32
213792	32
306921	32
370728	32
449441	32
518758	32
543296	32
557005	32
573820	32
226371	31
280356	31
387569	31
459903	31
87337	30
92714	30
105999	30
136891	30
146576	30
192377	30
192887	30
194318	30
209611	30
215219	30
256095	30
349708	30
349760	30
350611	30
446730	30
497400	30
606934	30
632512	30
30878	29
73218	29
141176	29
160181	29
234084	29
297118	29
381226	29
445302	29
459760	29
493729	29
495883	29
522528	29
551925	29
604795	29
19966	28
42356	28
65474	28
201047	28
247719	28
257339	28
307099	28
317172	28
448003	28
479344	28
551635	28
562740	28
577084	28
600233	28
55199	27
207240	27
266817	27
386410	27
397742	27
406231	27
507027	27
26945	26
84893	26
266909	26
282858	26
287676	26
319530	26
399033	26
490302	26
494504	26
505157	26
526154	26
617583	26
635885	26
58071	25
77504	25
98202	25
117372	25
211863	25
271998	25
272773	25
306161	25
309333	25
478208	25
478799	25
486646	25
490987	25
526501	25
538913	25
541766	25
558807	25
590953	25
592140	25
608508	25
101005	24
112809	24
196659	24
229304	24
243055	24
247079	24
276159	24
277691	24
285602	24
397887	24
399441	24
463226	24
467212	24
517931	24
538069	24
548067	24
550854	24
551087	24
569568	24
614356	24
624081	24
67174	23
81564	23
123732	23
144549	23
193627	23
203016	23
205032	23
225940	23
261467	23
269398	23
273279	23
356159	23
357703	23
431103	23
431442	23
458675	23
494929	23
506115	23
519744	23
542825	23
588991	23
599025	23
620572	23
624264	23
636023	23
23362	22
100468	22
124156	22
139004	22
174892	22
183902	22
213839	22
214637	22
238658	22
243570	22
248669	22
266917	22
325294	22
343132	22
380595	22
387248	22
455014	22
497682	22
509488	22
528854	22
537473	22
546281	22
555502	22
612412	22
614700	22
614824	22
615688	22
631686	22
3810	21
31053	21
66474	21
77356	21
119406	21
169068	21
190971	21
196600	21
222999	21
243557	21
243727	21
269512	21
286278	21
288111	21
394117	21
430533	21
434421	21
450325	21
454934	21
457392	21
483167	21
491158	21
508531	21
516263	21
518244	21
528970	21
570383	21
570668	21
587660	21
589524	21
604432	21
23873	20
53156	20
131851	20
141739	20
160177	20
189171	20
192420	20
204174	20
219033	20
231115	20
237692	20
240846	20
294270	20
310141	20
313375	20
333351	20
339920	20
375324	20
377222	20
389747	20
418077	20
420416	20
437920	20
465703	20
472624	20
524598	20
568692	20
576752	20
579230	20
600926	20
605698	20
619739	20
620865	20
1835	19
31714	19
33540	19
39704	19
41913	19
43239	19
62887	19
84369	19
91611	19
100254	19
104775	19
109433	19
110287	19
112114	19
116585	19
117291	19
129510	19
133062	19
154639	19
168219	19
189845	19
215250	19
219569	19
220889	19
253152	19
262370	19
267654	19
268652	19
274213	19
282176	19
298067	19
318124	19
367526	19
379806	19
400455	19
464522	19
478903	19
479345	19
483205	19
513437	19
515683	19
519268	19
528526	19
530744	19
531290	19
537228	19
562914	19
616365	19
617858	19
621322	19
1686	18
13329	18
59008	18
70127	18
81551	18
82635	18
85114	18
103079	18
103175	18
124767	18
128177	18
132119	18
145191	18
171510	18
182233	18
183442	18
190851	18
208190	18
221840	18
239491	18
240873	18
262385	18
276031	18
286824	18
287927	18
321300	18
323805	18
347905	18
360505	18
389610	18
391954	18
413284	18
428698	18
436637	18
468803	18
479851	18
494983	18
512681	18
518862	18
538895	18
554226	18
562420	18
569065	18
586804	18
587544	18
594879	18
613163	18
6834	17
8104	17
22934	17
24354	17
51108	17
51143	17
52100	17
63138	17
72312	17
83460	17
83465	17
85483	17
110133	17
129952	17
130230	17
134624	17
144982	17
160203	17
172698	17
177547	17
200351	17
226544	17
238571	17
246014	17
258349	17
259808	17
261126	17
265187	17
270144	17
278380	17
289491	17
289533	17
290298	17
290611	17
296295	17
310301	17
317785	17
326486	17
327663	17
333993	17
334780	17
338483	17
340121	17
357250	17
360955	17
376354	17
376901	17
380703	17
394095	17
395616	17
398611	17
412102	17
429123	17
444657	17
467332	17
469117	17
470925	17
512254	17
515031	17
524862	17
553299	17
595394	17
596178	17
621517	17
625195	17
636110	17
637756	17
5608	16
7538	16
10571	16
12783	16
19682	16
21921	16
42452	16
43746	16
57227	16
57460	16
71091	16
81952	16
85264	16
92454	16
99474	16
102981	16
103141	16
109925	16
111723	16
128965	16
140225	16
156143	16
168502	16
188562	16
190325	16
193483	16
200416	16
232192	16
235750	16
240780	16
241627	16
257496	16
261735	16
286441	16
307565	16
334933	16
342408	16
357363	16
387591	16
388112	16
389334	16
400263	16
415377	16
434699	16
441872	16
447873	16
449242	16
449334	16
462526	16
463365	16
467643	16
470245	16
478227	16
480007	16
483871	16
536488	16
538145	16
540679	16
543732	16
546434	16
547164	16
568896	16
587796	16
591811	16
595303	16
604278	16
611837	16
614476	16
632551	16
5964	15
15226	15
16109	15
21504	15
24587	15
26726	15
35121	15
59721	15
65610	15
68957	15
74389	15
83516	15
85340	15
102963	15
106641	15
108736	15
119201	15
123121	15
125884	15
128039	15
129303	15
133567	15
137527	15
144119	15
151772	15
181004	15
194474	15
203144	15
206258	15
219875	15
223461	15
225948	15
231353	15
236410	15
252698	15
252753	15
265669	15
268025	15
269926	15
275929	15
285749	15
293796	15
294831	15
300450	15
311944	15
312943	15
315406	15
318540	15
318747	15
324658	15
333000	15
335824	15
343292	15
365846	15
373303	15
375717	15
377107	15
392352	15
392985	15
398211	15
407427	15
408209	15
408842	15
421734	15
425910	15
427738	15
430439	15
437142	15
443300	15
452385	15
455510	15
466934	15
469137	15
469386	15
472740	15
494133	15
500568	15
514966	15
519950	15
534926	15
536710	15
548526	15
555605	15
562726	15
564435	15
568151	15
586165	15
589441	15
602488	15
627517	15
627905	15
4394	14
4872	14
9054	14
17592	14
52365	14
52413	14
56993	14
66786	14
72040	14
77288	14
89560	14
96684	14
109948	14
116630	14
118115	14
126167	14
128644	14
133813	14
141483	14
154651	14
155831	14
161100	14
162451	14
163684	14
164623	14
171828	14
171971	14
173566	14
182795	14
185962	14
190606	14
194589	14
196678	14
197809	14
223236	14
226623	14
242449	14
243252	14
254048	14
255085	14
258239	14
261566	14
261953	14
264054	14
284422	14
292139	14
295304	14
315523	14
316622	14
317960	14
318430	14
326944	14
328353	14
329583	14
339227	14
340612	14
346257	14
354473	14
355673	14
357345	14
371195	14
375853	14
378726	14
388626	14
390015	14
391094	14
397585	14
399214	14
399593	14
409934	14
434042	14
436140	14
442064	14
442172	14
447459	14
459908	14
465499	14
466593	14
479595	14
483395	14
486177	14
491795	14
505407	14
508968	14
522516	14
522659	14
525107	14
527102	14
552317	14
553027	14
562493	14
573346	14
574598	14
574659	14
575903	14
580444	14
585561	14
590897	14
592317	14
595045	14
596753	14
598286	14
605393	14
609124	14
615530	14
622845	14
629686	14
4926	13
7739	13
11263	13
12006	13
18121	13
23808	13
25538	13
26304	13
28883	13
33027	13
37106	13
41126	13
43429	13
48646	13
52883	13
57123	13
81208	13
85400	13
94929	13
97392	13
98760	13
101204	13
102006	13
102812	13
106801	13
106953	13
108774	13
109031	13
111095	13
112769	13
120636	13
122430	13
122480	13
131427	13
131867	13
135943	13
138419	13
147008	13
147895	13
148839	13
154102	13
163448	13
163775	13
165475	13
178401	13
179716	13
182788	13
184482	13
192445	13
208015	13
238740	13
252019	13
252137	13
252577	13
256358	13
261110	13
271246	13
289197	13
291381	13
293349	13
310654	13
311317	13
319948	13
330150	13
334606	13
335604	13
337370	13
340947	13
344842	13
345173	13
349653	13
355120	13
364503	13
369590	13
373383	13
378598	13
392743	13
419181	13
431199	13
437475	13
437610	13
452334	13
453182	13
456839	13
457893	13
460770	13
475804	13
478510	13
