user_id,recommended_items
285,2440098 2079266 637452 377107 2712821 
902,481781 1103085 2329130 1280274 1677859 
948,2686805 2176713 2614160 1053542 710853 
1183,354485 1079230 1169344 681030 1664426 
1286,578708 333719 214556 1456008 2667803 
1509,1865831 546617 2485841 2035029 1059928 
1776,623022 588206 1876399 2415699 2687094 
1982,2778525 1244196 1386412 657183 2791339 
2742,2778525 1244196 1386412 657183 2791339 
3161,2277810 346096 816048 2201892 1283162 
3256,13518 2786666 294846 2795738 445231 
3375,875254 430145 1947571 1575834 1034663 
3547,2778525 1244196 1386412 657183 2791339 
3630,415358 2062302 447985 2301366 242997 
3806,483316 372553 2625432 516643 2158422 
4607,2778525 1244196 1386412 657183 2791339 
5112,2778525 1244196 1386412 657183 2791339 
5627,314274 374376 345660 1937957 2802026 
5686,2309898 1915773 2137463 2809931 2082743 
5738,1837182 834672 37560 2414545 1272226 
5839,1529035 1259380 1153402 2792639 2365206 
6442,2083455 677711 2558141 1174479 211719 
7182,1095585 1388757 2715079 1734442 1884669 
7693,2778525 1244196 1386412 657183 2791339 
8316,2083095 2491016 1989212 2020334 83100 
9660,2150639 700509 1591258 1214711 2084333 
9680,2272823 798925 1310205 1398673 10811 
10044,388367 1218 711587 2487871 505786 
10316,462518 2489959 1208016 2102658 1091499 
10469,2527975 1586528 2064275 1483617 2583224 
10470,2154395 353289 908217 2632128 2686231 
10870,2778525 1244196 1386412 657183 2791339 
10956,227174 2788209 1864363 346007 274846 
11027,466173 1791528 1147424 1553111 1522676 
11380,1376427 754595 1715345 227227 1796052 
11423,2778525 1244196 1386412 657183 2791339 
11805,2673524 1421766 1712497 443494 2106250 
12046,720931 2350137 2401151 731081 1446413 
12097,1044718 279879 823836 361719 403151 
12233,2778525 1244196 1386412 657183 2791339 
12593,876171 2107221 702963 2740724 964087 
12626,1347200 1166136 377012 722566 44759 
12630,2393613 1099748 2761339 1245050 1360659 
12671,982097 741410 917015 1405349 794837 
12689,2502279 991588 788710 1508724 6271 
12750,1781907 586587 1497491 184517 1621790 
12852,2485053 406835 1560693 1074097 2255401 
13715,2778525 1244196 1386412 657183 2791339 
14269,1837182 203784 834672 508676 611545 
14624,685185 2664554 432440 445231 1404891 
14792,868811 1899045 2471416 1015502 1909781 
14966,504015 1210470 1065643 100343 2295468 
15006,1989397 426673 1416920 2393746 773842 
15100,1299042 1562308 1029608 2129714 1156982 
15549,1890052 1621790 1003798 1400672 710260 
15611,81581 2189310 2218088 146364 1613025 
16228,2778525 1244196 1386412 657183 2791339 
16874,1339831 2513257 1171957 483871 887848 
16971,2206055 1160780 1232094 220211 333557 
18097,2410081 339478 2711823 2351631 786554 
18564,160057 221353 1835544 770413 352203 
18796,2453665 1551995 1962431 1408909 771110 
18994,631887 406606 337914 1309002 1463490 
19544,2419733 2441110 905799 1919107 1682163 
19679,329244 685091 1263920 1930176 329418 
19704,1650394 1003934 976882 2094578 2130271 
20101,1076473 1370185 1973323 1592201 1501321 
20679,2694357 1064266 968188 2353895 1091446 
20815,1822946 1804340 153323 454452 1704842 
20979,2001284 1295316 2189661 485102 675896 
21195,1918612 1862904 1376436 2361419 1795857 
21324,47162 2084439 735471 2167896 1281909 
21578,2778525 1244196 1386412 657183 2791339 
21627,2461381 1843884 1329625 1735304 1605044 
21663,213472 2656392 2209942 2457976 2617752 
21813,1164925 2160801 45676 1777769 2365206 
21835,2813358 2174285 685185 1984077 432440 
22107,267775 62562 2617471 2446758 832002 
22206,1096094 2317009 2414678 335514 2146707 
22591,921942 2659054 1933924 2079855 618380 
22728,2778525 1244196 1386412 657183 2791339 
23229,1908731 2012232 1225006 1201714 1946600 
23361,718145 1119799 2039947 705330 2569204 
23459,1897240 1565544 537780 2313955 1354650 
23667,1556670 1616908 710180 2347446 2042261 
23718,1704842 1310522 1943713 548832 322374 
24419,2778525 1244196 1386412 657183 2791339 
24465,859700 2500175 11792 2373028 802799 
25906,259766 1371253 2716968 968188 2544299 
26038,623673 2050308 657342 757163 300368 
26658,596831 1458048 280027 1488335 17005 
27187,630820 230373 62452 1259578 1597369 
27501,889779 1959080 1932057 2564360 293564 
27638,2694885 2732692 106209 1193474 433379 
27707,2089002 34232 230819 2599667 1003125 
27727,1092599 153672 1056502 1785782 736712 
27845,2774083 1961823 582473 685023 726166 
27931,422677 2704587 174776 738607 655123 
28232,1765174 1340660 1583635 120395 2324766 
28739,806981 2691480 1517095 2224311 379999 
28801,2192350 1960755 1377249 854307 1069152 
28972,1452579 2362712 2227010 1994344 2163983 
29072,1074013 699006 1483617 828006 1280274 
29146,2192350 1900852 1377249 1243037 447312 
29212,802760 1521930 2073499 147125 932431 
29340,389056 1863074 2826438 1228398 797919 
29449,1719369 1839753 209611 1395757 184362 
29519,2423978 2106311 196659 1526269 2815295 
30094,2140217 35505 1022000 2199249 113691 
30368,2778525 1244196 1386412 657183 2791339 
30774,2778525 1244196 1386412 657183 2791339 
30910,2683378 350611 1159573 1165605 1859894 
31318,2277810 323333 2044711 2462037 1006566 
32111,2778525 1244196 1386412 657183 2791339 
32371,1469233 592747 1264544 209074 2076389 
32434,2618175 1754204 1446073 1859894 481781 
33119,2778525 1244196 1386412 657183 2791339 
33317,381870 2164654 1279643 923245 2404405 
33492,830537 2479462 1676375 2832470 2390578 
33552,199388 2297159 2819375 1719302 1125324 
33704,2229410 2489959 2800818 2067285 730450 
35125,2699836 2078846 2126500 787160 1887464 
35517,1477922 1485172 483900 2049850 1902285 
35752,2694820 684050 350603 2360507 2377426 
36049,1918359 2591397 995305 1398006 1120697 
36125,513417 146932 1065818 1310600 837321 
36396,2778525 1244196 1386412 657183 2791339 
36940,2671295 2694491 2257516 300368 1729705 
37187,2376471 639551 714376 1590528 878016 
37351,1836142 2475831 1174997 2044507 958759 
38059,142662 1576782 1750890 825136 2302162 
38189,1099911 1040704 221353 1906102 1835544 
38365,525574 385901 2074719 1475642 221353 
38481,1406238 1377249 2248257 998540 2192350 
38730,1330328 2705759 1918612 127901 2734753 
38944,2365011 340260 912478 1951358 2123764 
39189,2778525 1244196 1386412 657183 2791339 
39773,265187 2756141 2803125 1056354 1387923 
39778,542825 439065 2669424 1767212 2460805 
40141,1621790 634061 301390 1032155 2231662 
40180,521436 205549 1306320 744459 1842677 
40246,2734865 1762473 1258874 2493862 1194695 
40468,1613050 2716010 465997 569761 161945 
41309,215403 2818272 2753892 2197728 1946404 
41345,616631 1340384 2045328 2800789 311546 
41383,1739253 1707973 1399869 1648278 1868999 
41403,1921797 1569303 556530 1039430 2590783 
41629,1304128 177346 1089862 2108824 763685 
41649,794156 2648928 2326685 38575 1126966 
42051,140830 473936 100398 2618535 2768458 
