user_id,recommended_items
285,2440098 2079266 637452 2712821 396118 
902,525107 481781 1103085 2329130 1862904 
948,2176713 2614160 2686805 710853 2087002 
1183,1960885 354485 1079230 1169344 2740821 
1286,2667803 2519186 3044 214556 1208005 
1509,1865831 546617 2485841 2035029 1198190 
1776,623022 588206 1876399 2415699 2687094 
1982,2778525 1244196 1386412 657183 2791339 
2742,2778525 1244196 1386412 657183 2791339 
3161,2277810 816048 2201892 1283162 1001233 
3256,13518 2786666 294846 445231 2795738 
3375,875254 728983 430145 1947571 1575834 
3547,2778525 1244196 1386412 657183 2791339 
3630,415358 447985 1524064 2301366 242997 
3806,483316 1175028 1174561 1101086 540689 
4607,2778525 1244196 1386412 657183 2791339 
5112,2778525 1244196 1386412 657183 2791339 
5627,314274 374376 345660 1536299 581865 
5686,2309898 1915773 2137463 2809931 2082743 
5738,834672 37560 2414545 1837182 1272226 
5839,1529035 1259380 1153402 2792639 1752082 
6442,2558141 1723623 2083455 677711 1848140 
7182,1388757 1095585 784887 2715079 2014172 
7693,2778525 1244196 1386412 657183 2791339 
8316,123885 2491016 2123083 2020334 1785696 
9660,2150639 700509 1591258 1214711 2084333 
9680,2272823 798925 2757405 1398673 624750 
10044,1218 711587 388367 2487871 505786 
10316,462518 1208016 2102658 1091499 1619914 
10469,2527975 1586528 2064275 1483617 2583224 
10470,2154395 2686231 1960052 1099829 1047760 
10870,2778525 1244196 1386412 657183 2791339 
10956,227174 2788209 1864363 346007 274846 
11027,466173 1553111 1791528 1522676 561642 
11380,1376427 754595 1715345 227227 1796052 
11423,2778525 1244196 1386412 657183 2791339 
11805,2673524 1421766 1712497 443494 782713 
12046,548067 720931 2301704 2036120 806087 
12097,1044718 279879 823836 2770854 361719 
12233,2778525 1244196 1386412 657183 2791339 
12593,876171 2107221 702963 1216431 2740724 
12626,1347200 1166136 1848140 377012 722566 
12630,2393613 1099748 2761339 2539718 36376 
12671,982097 741410 917015 1405349 794837 
12689,2502279 991588 1105190 806087 788710 
12750,1781907 586587 1621790 1003798 1619914 
12852,2485053 2255401 406835 2377969 2143054 
13715,2778525 1244196 1386412 657183 2791339 
14269,834672 508676 611545 17005 702869 
14624,2664554 685185 432440 1749358 139004 
14792,1899045 868811 1010212 1015502 1909781 
14966,504015 1210470 1065643 100343 2295468 
15006,1442340 1989397 2393746 773842 2170943 
15100,2360498 92343 441954 1593138 1299042 
15549,1890052 1621790 1003798 1400672 710260 
15611,81581 2189310 2218088 146364 1613025 
16228,2778525 1244196 1386412 657183 2791339 
16874,483871 2513257 1171957 1339831 806087 
16971,2206055 2603566 1232094 1199649 220211 
18097,2410081 339478 2351631 786554 2640455 
18564,160057 221353 1835544 770413 352203 
18796,2453665 1551995 1254555 1679459 474710 
18994,631887 406606 337914 1309002 1463490 
19544,2419733 2441110 232116 905799 329909 
19679,232116 579847 389118 2011838 2170760 
19704,1650394 1003934 976882 2094578 2130271 
20101,1076473 1370185 1973323 1592201 1501321 
20679,2694357 1064266 968188 2353895 1091446 
20815,1704842 568191 1822946 1880506 1804340 
20979,485102 2001284 1295316 1702541 2189661 
21195,1918612 1567110 1862904 1376436 2361419 
21324,47162 1281909 2084439 735471 2376419 
21578,2778525 1244196 1386412 657183 2791339 
21627,2461381 1843884 1329625 2162948 1735304 
21663,213472 2656392 2209942 2457976 2617752 
21813,1435255 59091 1585842 1448559 1164925 
21835,2813358 2174285 2420135 685185 432440 
22107,2617471 832002 36376 2051232 1120043 
22206,1096094 2317009 2414678 335514 2146707 
22591,921942 2659054 1933924 2079855 618380 
22728,2778525 1244196 1386412 657183 2791339 
23229,769132 2663943 2063689 1139749 1946600 
23361,1119799 1528474 480353 474003 548067 
23459,2313955 1391091 1897240 1565544 537780 
23667,251196 1274654 1556670 1616908 710180 
23718,1704842 548832 322374 1310522 1943713 
24419,2778525 1244196 1386412 657183 2791339 
24465,859700 2500175 11792 2373028 2584486 
25906,806087 2716968 2524785 1371253 2178728 
26038,623673 2050308 657342 757163 300368 
26658,806087 1458048 237216 2273772 2719539 
27187,630820 230373 62452 2577625 1259578 
27501,889779 1932057 2564360 332273 293564 
27638,2694885 2385866 404604 433379 2732692 
27707,2089002 34232 230819 2599667 1003125 
27727,1092599 153672 1785782 736712 2226682 
27845,2774083 1961823 582473 685023 726166 
27931,422677 2704587 174776 738607 655123 
28232,1340660 1765174 1583635 1422576 1135228 
28739,2691480 806981 1517095 1696739 2224311 
28801,2192350 1325058 1960755 1851645 1377249 
28972,1452579 2362712 2227010 1907738 1994344 
29072,1074013 699006 1483617 828006 626171 
29146,2192350 1900852 1377249 1243037 447312 
29212,1521930 802760 2401671 2566460 2073499 
29340,1863074 1163816 2826438 1228398 1660941 
29449,184362 1719369 209611 2013935 1839753 
29519,2106311 2423978 1526269 196659 2815295 
30094,2129142 1818827 2140217 35505 2199249 
30368,2778525 1244196 1386412 657183 2791339 
30774,2778525 1244196 1386412 657183 2791339 
30910,2683378 350611 1165605 1159573 218213 
31318,2277810 323333 1006566 2383552 2044711 
32111,2778525 1244196 1386412 657183 2791339 
32371,1469233 592747 209074 2076389 1264544 
32434,2618175 1754204 1446073 2006653 1859894 
33119,2778525 1244196 1386412 657183 2791339 
33317,381870 2164654 1279643 923245 2404405 
33492,1676375 2832470 2390578 29714 2559930 
33552,1765104 2145684 1531941 1044573 1414267 
33704,2489959 2229410 2800818 2067285 1977458 
35125,1315917 2301704 2640772 2078846 2699836 
35517,1477922 1485172 483900 2049850 1902285 
35752,2694820 684050 350603 2360507 2377426 
36049,995305 1918359 1398006 1120697 853180 
36125,513417 146932 64793 1714427 1065818 
36396,2778525 1244196 1386412 657183 2791339 
36940,2671295 2694491 2257516 81964 1729705 
37187,2376471 639551 714376 1590528 878016 
37351,1836142 2475831 280966 2360498 1593138 
38059,142662 1576782 1750890 825136 2302162 
38189,1099911 221353 1906102 1040704 1835544 
38365,525574 385901 2074719 221353 770413 
38481,1406238 1377249 2248257 998540 2192350 
38730,1330328 2712821 127901 1918612 2734753 
38944,2365011 857213 2123764 1843330 2506755 
39189,2778525 1244196 1386412 657183 2791339 
39773,2756141 265187 2803125 1056354 1387923 
39778,2669424 542825 2460805 1789743 1658526 
