user_id,recommended_items
285,SVM SLIM fSLIM fSLIM LR 
902,LR SLIM fSLIM SLIM SVM 
948,SVM SVM SLIM SLIM SVM 
1183,fSLIM LR fSLIM SLIM fSLIM 
1286,SLIM SLIM LR LR SLIM 
1509,LR SVM LR SLIM LR 
1776,SVM fSLIM SVM fSLIM SLIM 
1982,fSLIM fSLIM fSLIM LR fSLIM 
2742,LR fSLIM SVM LR LR 
3161,fSLIM SVM LR SLIM LR 
3256,SLIM SLIM LR SLIM SVM 
3375,SLIM SLIM LR SVM SVM 
3547,SLIM SVM LR LR LR 
3630,LR LR fSLIM SLIM LR 
3806,SVM fSLIM fSLIM SLIM SLIM 
4607,SLIM LR LR LR SVM 
5112,SVM LR SVM LR SVM 
5627,LR SVM SLIM fSLIM fSLIM 
5686,SVM SVM SLIM fSLIM SLIM 
5738,LR fSLIM SLIM SLIM SVM 
5839,SLIM LR fSLIM LR SLIM 
6442,SVM SLIM SLIM LR fSLIM 
7182,LR LR fSLIM LR fSLIM 
7693,SLIM LR SLIM SLIM SLIM 
8316,SVM fSLIM SLIM SLIM LR 
9660,LR fSLIM LR SVM LR 
9680,SVM SLIM SVM fSLIM SVM 
10044,fSLIM SVM fSLIM fSLIM fSLIM 
10316,fSLIM fSLIM fSLIM LR LR 
10469,fSLIM SVM SLIM fSLIM SLIM 
10470,LR fSLIM SVM SVM fSLIM 
10870,fSLIM LR fSLIM LR fSLIM 
10956,SVM LR SVM LR fSLIM 
11027,fSLIM SVM fSLIM SVM fSLIM 
11380,LR SLIM LR LR fSLIM 
11423,LR SVM SVM SVM LR 
11805,SVM SLIM LR fSLIM SLIM 
12046,LR fSLIM fSLIM LR SLIM 
12097,SVM fSLIM fSLIM fSLIM fSLIM 
12233,SLIM LR SLIM LR SLIM 
12593,SVM fSLIM SLIM SVM fSLIM 
12626,SVM SVM SLIM SVM SLIM 
12630,fSLIM fSLIM LR LR LR 
12671,SVM fSLIM fSLIM SLIM LR 
12689,LR LR LR SLIM SLIM 
12750,LR LR fSLIM fSLIM LR 
12852,fSLIM fSLIM SVM SLIM fSLIM 
13715,SLIM SLIM fSLIM fSLIM LR 
14269,fSLIM SVM LR SLIM SVM 
14624,SLIM fSLIM fSLIM fSLIM SVM 
14792,SLIM fSLIM SLIM LR fSLIM 
14966,SLIM fSLIM SVM LR fSLIM 
15006,SLIM SVM LR fSLIM LR 
15100,fSLIM SVM SVM SVM SVM 
15549,fSLIM fSLIM SVM SVM fSLIM 
15611,LR SLIM fSLIM SLIM LR 
16228,SVM LR SLIM SLIM LR 
16874,SLIM fSLIM fSLIM SVM SVM 
16971,LR fSLIM SVM fSLIM fSLIM 
18097,LR LR LR fSLIM SLIM 
18564,SVM SLIM LR LR SVM 
18796,fSLIM fSLIM SVM fSLIM SVM 
18994,LR fSLIM SLIM LR fSLIM 
19544,SVM SLIM fSLIM fSLIM fSLIM 
19679,LR LR SLIM LR fSLIM 
19704,SVM LR fSLIM SLIM LR 
20101,LR LR fSLIM LR LR 
20679,SLIM SVM LR fSLIM SLIM 
20815,LR fSLIM fSLIM LR SVM 
20979,SLIM LR SLIM fSLIM LR 
21195,fSLIM SLIM SLIM SVM LR 
21324,LR LR fSLIM fSLIM SLIM 
21578,fSLIM fSLIM fSLIM LR fSLIM 
21627,fSLIM fSLIM LR LR LR 
21663,SLIM SVM SLIM LR SVM 
21813,LR fSLIM SLIM SLIM SLIM 
21835,LR LR LR SLIM SLIM 
22107,SVM SLIM SVM LR LR 
22206,SLIM LR LR LR fSLIM 
22591,fSLIM fSLIM SVM LR fSLIM 
22728,LR SLIM LR SLIM SLIM 
23229,fSLIM LR fSLIM fSLIM SLIM 
23361,fSLIM LR fSLIM LR SLIM 
23459,SVM fSLIM SVM SLIM SLIM 
23667,LR fSLIM LR fSLIM SLIM 
23718,LR SVM LR LR SLIM 
24419,LR SLIM LR SVM LR 
24465,SLIM SVM fSLIM SVM SLIM 
25906,SVM LR SVM fSLIM SVM 
26038,SLIM fSLIM fSLIM SVM SVM 
26658,fSLIM fSLIM LR SLIM LR 
27187,fSLIM LR fSLIM SVM SLIM 
27501,fSLIM SVM LR SLIM SLIM 
27638,SVM SLIM fSLIM SLIM fSLIM 
27707,SLIM SLIM fSLIM SLIM SVM 
27727,SLIM fSLIM fSLIM SVM SVM 
27845,LR fSLIM fSLIM LR LR 
27931,fSLIM SVM SLIM LR SLIM 
28232,LR fSLIM LR SVM fSLIM 
28739,fSLIM SVM SLIM SLIM SLIM 
28801,fSLIM LR SVM SVM fSLIM 
28972,SVM LR fSLIM SLIM fSLIM 
29072,SVM SLIM fSLIM SLIM fSLIM 
29146,LR fSLIM SVM fSLIM fSLIM 
29212,LR fSLIM fSLIM SVM fSLIM 
29340,fSLIM fSLIM LR SLIM SLIM 
29449,SVM SVM fSLIM fSLIM SLIM 
29519,LR LR LR LR LR 
30094,fSLIM SVM fSLIM fSLIM LR 
30368,fSLIM fSLIM LR fSLIM fSLIM 
30774,LR SVM fSLIM LR fSLIM 
30910,fSLIM LR LR SVM SLIM 
31318,SLIM SLIM LR SVM fSLIM 
32111,LR LR LR SVM LR 
32371,SLIM SVM SVM SLIM SVM 
32434,fSLIM SVM SVM fSLIM fSLIM 
33119,fSLIM SLIM LR SLIM LR 
33317,SLIM SLIM SVM SVM SLIM 
33492,SLIM LR fSLIM SLIM SVM 
33552,SLIM SVM SVM LR fSLIM 
33704,SVM fSLIM SLIM fSLIM LR 
35125,fSLIM LR fSLIM LR SVM 
35517,fSLIM LR SLIM LR LR 
35752,LR fSLIM SLIM LR fSLIM 
36049,SLIM fSLIM LR fSLIM SVM 
36125,fSLIM LR fSLIM fSLIM LR 
36396,fSLIM SLIM LR LR SLIM 
36940,fSLIM LR SLIM LR SLIM 
37187,SLIM fSLIM fSLIM SVM SLIM 
37351,fSLIM SVM SLIM SVM fSLIM 
38059,SLIM SVM fSLIM SVM SLIM 
38189,SLIM SVM fSLIM fSLIM fSLIM 
38365,SVM fSLIM LR SLIM SLIM 
38481,SLIM fSLIM fSLIM LR LR 
38730,SVM SVM fSLIM SVM fSLIM 
38944,SVM fSLIM LR SLIM fSLIM 
39189,LR SLIM LR fSLIM fSLIM 
39773,fSLIM fSLIM SLIM SLIM SVM 
39778,LR SVM SVM fSLIM SLIM 
40141,SLIM SLIM SVM SLIM SVM 
40180,SVM SLIM fSLIM SVM fSLIM 
40246,SLIM SLIM SVM SVM fSLIM 
40468,fSLIM fSLIM LR LR SLIM 
41309,SVM SLIM LR SLIM LR 
41345,SVM SVM SLIM LR SLIM 
41383,SLIM LR LR LR SLIM 
41403,fSLIM LR SLIM LR SVM 
41629,fSLIM SVM SLIM LR LR 
41649,SLIM LR fSLIM SLIM SLIM 
42051,fSLIM fSLIM SLIM fSLIM LR 
42321,fSLIM SVM SVM LR LR 
42617,SVM SLIM LR fSLIM fSLIM 
42912,SLIM fSLIM SVM LR SVM 
43088,fSLIM LR fSLIM fSLIM SLIM 
43399,SLIM LR fSLIM SLIM LR 
43444,SVM LR SVM SLIM LR 
44628,LR LR fSLIM SLIM fSLIM 
46074,fSLIM LR fSLIM LR fSLIM 
46106,LR LR SLIM LR SLIM 
46377,LR LR fSLIM SLIM fSLIM 
46391,fSLIM fSLIM SLIM fSLIM SVM 
46874,SVM SVM fSLIM fSLIM SVM 
47353,SLIM LR LR SVM SLIM 
47387,LR fSLIM LR fSLIM LR 
47475,fSLIM LR fSLIM SVM SVM 
47662,fSLIM LR LR fSLIM fSLIM 
48463,LR fSLIM LR fSLIM fSLIM 
48478,fSLIM LR SLIM fSLIM SVM 
48675,LR SVM SLIM LR SLIM 
48789,SLIM LR fSLIM SLIM LR 
49239,LR LR SLIM fSLIM LR 
49334,LR fSLIM SLIM fSLIM fSLIM 
49418,LR SLIM SLIM SVM SVM 
49794,fSLIM LR LR SLIM SLIM 
50754,SVM SVM fSLIM fSLIM SLIM 
50874,SLIM LR LR SLIM SVM 
51289,fSLIM fSLIM SVM SLIM LR 
51380,fSLIM fSLIM LR SVM SVM 
51416,fSLIM fSLIM LR LR SLIM 
51445,LR fSLIM LR SLIM SVM 
51851,SLIM fSLIM SVM fSLIM SLIM 
52067,SVM SLIM fSLIM SLIM SLIM 
