user_id,recommended_items
285,1726380 1898571 922410 2123252 1216431 
902,2791339 657183 1162250 1386412 1443706 
948,1053542 1244196 2778525 657183 1386412 
1183,1096406 579292 2117630 2393265 77400 
1286,2778525 1244196 1386412 657183 2791339 
1509,1865831 1686571 2546303 2086041 1566231 
1776,2468340 939717 2182289 20147 1701556 
1982,2778525 1244196 1386412 657183 2791339 
2742,2778525 1244196 1386412 657183 2791339 
3161,472040 1386412 278589 2348229 943964 
3256,1244196 784737 1069281 1576126 2313894 
3375,2778525 823512 538069 2310939 2545674 
3547,2778525 1244196 1386412 657183 2791339 
3630,415358 2750191 447985 2625619 374376 
3806,902049 499178 1432568 1386412 1750840 
4607,2778525 1244196 1386412 657183 2791339 
5112,2778525 1244196 1386412 657183 2791339 
5627,374376 2802026 2380306 1262099 1139128 
5686,926828 553187 2160707 475804 2418886 
5738,2778525 823512 1244196 2310939 538069 
5839,1069281 1443706 2313894 79531 1162250 
6442,2526744 211719 2458668 801479 1322673 
7182,2014172 2687682 1183228 1120107 1373703 
7693,2778525 1244196 1386412 657183 2791339 
8316,2476988 499178 123885 1982238 2347314 
9660,1386412 2227201 2380306 784737 951143 
9680,624750 2272823 1408883 2174115 851128 
10044,1208433 388367 2232786 81416 277068 
10316,784737 1386412 2002097 657183 1162250 
10469,2391945 2825431 1155746 2458140 116932 
10470,2154395 2686231 932913 315341 161347 
10870,2778525 1244196 1386412 657183 2791339 
10956,546579 300053 192785 2287483 1241389 
11027,1511831 2295947 1087413 391706 2794672 
11380,434421 2200859 205039 1608366 1984327 
11423,2778525 1244196 1386412 657183 2791339 
11805,1001431 764484 178439 1226034 1585675 
12046,1073372 878217 790953 114266 2123151 
12097,1386412 1092821 657183 784737 536047 
12233,2778525 1244196 1386412 657183 2791339 
12593,1216431 702963 1534045 2415538 2830138 
12626,1322673 2580699 2521535 1911499 677711 
12630,1823509 784181 2393613 2669570 1717731 
12671,2453965 830631 2568608 789747 529889 
12689,1105190 2502279 269945 1508724 2646712 
12750,657183 1386412 1162250 2002097 2791339 
12852,406835 1972115 1496888 2143054 1074097 
13715,2778525 1244196 1386412 657183 2791339 
14269,823512 1244196 1140869 1386412 1241609 
14624,468120 1443706 2313894 1069281 266412 
14792,1244196 2778525 468120 1140869 1069281 
14966,169068 1657452 908513 504015 2275702 
15006,723777 1499394 2427786 1876513 297118 
15100,715107 551635 632026 2520574 529619 
15549,1386412 784737 2002097 657183 823512 
15611,2002097 1386412 2501356 1695664 1664453 
16228,2778525 1244196 1386412 657183 2791339 
16874,1928254 2791339 2002097 536047 657183 
16971,725769 1898748 1328711 194241 2539956 
18097,1353323 1815493 2289895 1643703 1777634 
18564,1576126 1953846 2778525 1047625 468120 
18796,1014523 2730930 750033 1838816 385584 
18994,1834588 1056667 2386570 634598 2111288 
19544,1919107 1803942 914870 1449872 537350 
19679,193627 445231 1159573 2096789 153323 
19704,2330317 2182484 2770160 712930 2341890 
20101,105999 1550605 2302683 2354464 2606366 
20679,2466095 1984327 1162250 1386412 2791339 
20815,415358 1472716 2348573 568191 457843 
20979,1029640 485102 1702541 2048343 824591 
21195,1477642 1567110 1520277 164623 784737 
21324,2645314 2376419 581249 16356 234084 
21578,2778525 1244196 1386412 657183 2791339 
21627,2093033 1953745 1056667 1262409 973863 
21663,2617752 213472 30400 1470761 2185393 
21813,1928254 2024094 1140869 1886939 47583 
21835,468120 2313894 1069281 2420135 1443706 
22107,2251758 457843 1754448 2002097 557005 
22206,274885 2730927 787368 1096094 2630362 
22591,1834588 2364286 1078888 1239082 789804 
22728,2778525 1244196 1386412 657183 2791339 
23229,2778525 1244196 1386412 657183 2791339 
23361,2512859 1672383 2143484 2470865 715107 
23459,2313955 1391091 1584839 659969 2199144 
23667,1274654 410738 1931528 701000 2351383 
23718,1443706 1244196 266412 2257200 1149693 
24419,2778525 1244196 1386412 657183 2791339 
24465,657183 536047 1386412 2002097 1162250 
25906,410414 1053542 2618603 2310439 1229323 
26038,2825431 2257516 291669 1689895 2546303 
26658,2791339 278589 2694051 1487715 1627267 
27187,2348573 141739 925751 1776696 1432568 
27501,552320 1020875 435299 278589 583741 
27638,771416 2222699 1695664 393952 1524219 
27707,1211336 1652172 704184 2569424 2073725 
27727,79531 1140869 1809836 2680669 1386412 
27845,784737 536047 823512 1386412 657183 
27931,1420783 107372 947691 350611 2310865 
28232,1340660 291669 2086041 908778 1765174 
28739,1640475 1143366 1153530 930591 1274336 
28801,1376234 1069152 447312 1960755 2092656 
28972,1452579 1361778 106261 701650 2220227 
29072,2770160 457843 160177 1570385 185476 
29146,2192350 1900852 2092656 850021 1962428 
29212,931519 767563 526501 617858 143830 
29340,714309 2337857 1687581 262871 2798665 
29449,784737 1386412 2002097 657183 1092821 
29519,1162250 784737 343377 2791339 1386412 
