user_id,recommended_items
285,1898571 2398489 1511931 973863 493729 
902,2791339 2106311 1443706 604205 455014 
948,1047625 1053542 1156803 1129899 2791339 
1183,579292 1096406 1646190 785331 2117630 
1286,2778525 1244196 2791339 1262099 342352 
1509,2086041 466934 2235265 1496156 1338724 
1776,939717 1687056 1757758 2468340 1277140 
1982,2778525 1244196 1386412 657183 2791339 
2742,2778525 1244196 1386412 657183 2791339 
3161,472040 278589 460717 723096 1386412 
3256,2141209 2245182 2144231 112803 794365 
3375,823512 2778525 79531 1443706 538069 
3547,2778525 1244196 1386412 657183 2791339 
3630,415358 568191 2750191 499178 1754448 
3806,73218 2750191 1432568 2348573 499178 
4607,2778525 1244196 1386412 657183 2791339 
5112,2778525 1244196 1386412 657183 2791339 
5627,2802026 415358 345660 374376 2380306 
5686,926828 2418886 1356389 475804 779190 
5738,823512 2778525 79531 2310939 1244196 
5839,2698468 1165605 2778525 1092821 1376308 
6442,211719 2458668 240873 1225403 1779620 
7182,2014172 1183228 784887 248636 2489267 
7693,2778525 1244196 1386412 657183 2791339 
8316,2476988 1982238 716504 499178 79135 
9660,1329073 1351870 2796479 662309 951143 
9680,971721 299943 2639430 2174115 1463495 
10044,1208433 2232786 2272908 388367 1517153 
10316,784737 2002097 657183 830073 1386412 
10469,1676502 2639425 978985 1926477 1380906 
10470,2160902 2686231 161347 315341 2154395 
10870,2778525 1244196 1386412 657183 2791339 
10956,546579 300053 5964 1519543 1386412 
11027,1511831 561642 1472482 1553111 1273892 
11380,1241464 1165605 434421 767607 2590469 
11423,2778525 1244196 1386412 657183 2791339 
11805,1676825 1231221 1227554 2400469 338801 
12046,2750450 931565 2799651 1432589 2575832 
12097,1092821 1386412 536047 657183 784737 
12233,2778525 1244196 1386412 657183 2791339 
12593,1216431 1534045 2415538 2707577 2830138 
12626,508531 2521535 2580699 2118010 1911499 
12630,662225 1188128 2522554 1717731 784181 
12671,830631 2568608 1332071 1646403 718502 
12689,1508724 1105190 88029 265816 1516317 
12750,2002097 1162250 2791339 1386412 657183 
12852,981474 932497 2464741 2609165 1762898 
13715,2778525 1244196 1386412 657183 2791339 
14269,1244196 823512 1386412 1092821 1241609 
14624,468120 2420135 2459081 2778525 1953846 
14792,1162250 1092821 468120 1244196 1140869 
14966,100343 504015 169068 319253 1657452 
15006,723777 1794685 2389610 297118 1499394 
15100,2153072 529619 1099170 1316226 2520574 
15549,1386412 1244196 657183 784737 2002097 
15611,2002097 306921 1386412 1165605 1695664 
16228,2778525 1244196 1386412 657183 2791339 
16874,1162250 1984327 2791339 784737 657183 
16971,1328711 725769 825883 1898748 666316 
18097,42465 1815493 1428371 2638669 2138292 
18564,1295570 1953846 373303 692994 2146033 
18796,2730930 2706865 1551995 2380717 1650824 
18994,1834588 2111288 2386570 1056667 786684 
19544,1803942 1919107 2419733 1626829 77400 
19679,430992 729312 60317 445231 1098998 
19704,2330317 608508 2341890 712930 499178 
20101,105999 1164312 1953846 1549837 1241563 
20679,2796479 2106311 2791339 266412 343377 
20815,1407200 1472716 415358 2501356 1317915 
20979,485102 1029640 1702541 2001284 1445895 
21195,77356 1567110 1477642 2572073 2218230 
21324,2645314 938287 581249 234084 1301316 
21578,2778525 1244196 1386412 657183 2791339 
21627,2783906 1953745 2093033 782713 2778662 
21663,2617752 213472 2506235 1772053 2548962 
21813,2024094 592140 59091 2481379 1928254 
21835,468120 2420135 2778525 1953846 1047625 
22107,457843 1754448 2548274 712901 1244196 
22206,1096094 787368 2730927 274885 942253 
22591,1834588 2364286 1078888 383573 342352 
22728,2778525 1244196 1386412 657183 2791339 
23229,1908731 750859 1383464 936865 2087736 
23361,174892 2143484 1074686 533584 2811704 
23459,2313955 2199144 2045755 1897594 1113937 
23667,1274654 2351383 410738 1931528 701000 
23718,2257200 1443706 2594163 266412 1317915 
24419,2778525 1244196 1386412 657183 2791339 
24465,536047 1162250 2002097 2791339 2235265 
25906,1229323 259766 776006 789199 1041709 
26038,2076787 2166540 2546303 2461471 2235265 
26658,79531 657183 2791339 1092821 1386412 
27187,141739 1479541 714105 538895 2411085 
27501,583741 1740183 439065 272736 1624781 
27638,1524219 1695664 2445138 771416 578184 
27707,1967011 2809718 324188 680630 84369 
27727,1140869 1809836 1244196 2680669 1673229 
27845,536047 1244196 1984327 657183 1386412 
27931,792132 2405262 350611 107372 174776 
28232,1340660 291669 2698338 908778 120395 
28739,730809 342352 806981 2121581 1640475 
28801,1376234 2318985 854307 1090127 2506278 
28972,1007361 1452579 1994344 2013744 2329357 
29072,712901 2770160 457843 160177 2251758 
29146,2092656 850021 2192350 1962428 1900852 
29212,617858 143830 526501 931519 55199 
29340,2337857 1695664 714309 2118203 2168537 
29449,784737 2002097 657183 1386412 2770160 
29519,2791339 1386412 2106311 2778525 1162250 
30094,2759928 2718704 1026296 1712024 1984327 
30368,2778525 1244196 1386412 657183 2791339 
30774,2778525 1244196 1386412 657183 2791339 
30910,1165605 1695664 1244196 2215624 2734883 
31318,1386412 1682300 2268052 1695664 818888 
32111,2778525 1244196 1386412 657183 2791339 
32371,2602263 1350991 876063 1758920 2229497 
32434,1765833 830372 1165605 2618175 1386412 
33119,2778525 1244196 1386412 657183 2791339 
33317,656507 2040236 2080213 796630 542126 
33492,517911 2505971 2063865 1171271 1092821 
33552,2778525 1015502 1845265 2781164 1507066 
33704,784737 1386412 1443706 536047 2313894 
35125,380595 2817739 2078554 1018651 1878292 
35517,2309131 2801020 1770648 1591891 172995 
35752,599025 2796479 1443706 343377 1542376 
36049,1635575 133813 2409838 2639071 985008 
36125,2108056 152549 705705 2701471 1262099 
36396,2778525 1244196 1386412 657183 2791339 
36940,2546303 2348573 920520 2257516 665666 
