user_id,recommended_items
285,922410 1216431 2123252 1226034 602260 
902,657183 2791339 1386412 784737 1244196 
948,1244196 1053542 657183 784737 1386412 
1183,1096406 579292 2117630 77400 469137 
1286,2778525 1244196 1386412 657183 2791339 
1509,2086041 1865831 2235265 1686571 2546303 
1776,2468340 939717 632625 2696759 1701556 
1982,2778525 1244196 1386412 657183 2791339 
2742,2778525 1244196 1386412 657183 2791339 
3161,278589 472040 1386412 2348229 777911 
3256,784737 1244196 1069281 2313894 266412 
3375,2778525 823512 538069 1673229 2310939 
3547,2778525 1244196 1386412 657183 2791339 
3630,415358 2625619 2750191 536047 2348573 
3806,499178 902049 73218 2018868 1386412 
4607,2778525 1244196 1386412 657183 2791339 
5112,2778525 1244196 1386412 657183 2791339 
5627,2380306 374376 2802026 1776696 499178 
5686,2075582 926828 982488 475804 2160707 
5738,2778525 823512 1244196 538069 2545674 
5839,1069281 2313894 79531 1443706 1162250 
6442,1774071 2435637 2526744 211719 326880 
7182,2014172 1183228 2003041 2730930 2687682 
7693,2778525 1244196 1386412 657183 2791339 
8316,2476988 499178 123885 1982238 716504 
9660,1386412 2227201 784737 657183 662309 
9680,2272823 624750 1408883 2184058 1463495 
10044,388367 1208433 1229739 413194 2487871 
10316,1386412 784737 657183 2002097 1092821 
10469,1430325 2391945 291669 2825431 1244196 
10470,2686231 2154395 1117173 291669 2619118 
10870,2778525 1244196 1386412 657183 2791339 
10956,1386412 779190 300053 535530 657183 
11027,1511831 1087413 391706 2295947 2794672 
11380,1984327 205039 1608366 784737 434421 
11423,2778525 1244196 1386412 657183 2791339 
11805,1001431 1585675 764484 1226034 2206648 
12046,878217 1073372 790953 2628493 1982112 
12097,1386412 657183 1092821 784737 536047 
12233,2778525 1244196 1386412 657183 2791339 
12593,1216431 1534045 2415538 702963 2830138 
12626,1322673 2580699 677711 508531 1911499 
12630,1823509 784181 1717731 528854 2811370 
12671,830631 529889 1886939 2453965 2520396 
12689,1105190 269945 6271 2646712 769420 
12750,1386412 657183 1162250 2002097 343377 
12852,1496888 406835 1972115 1102260 2085139 
13715,2778525 1244196 1386412 657183 2791339 
14269,823512 1386412 1244196 784737 1928254 
14624,1069281 2313894 468120 1443706 79531 
14792,1244196 2778525 468120 1679143 1069281 
14966,169068 1657452 504015 908513 1718261 
15006,2002097 2427786 723777 1876513 1794685 
15100,1099170 529619 2400992 1244196 148365 
15549,1386412 823512 784737 657183 2002097 
15611,2002097 1386412 2501356 536047 1695664 
16228,2778525 1244196 1386412 657183 2791339 
16874,1928254 2002097 1686458 472040 2791339 
16971,1328711 725769 882380 194241 298067 
18097,1386412 1353323 1815493 2289895 657183 
18564,1576126 1679143 468120 1953846 784737 
18796,1014523 2730930 269398 2148574 640407 
18994,1834588 1056667 1386412 2364286 634598 
19544,1919107 1803942 537350 1682163 734167 
19679,1047027 445231 60317 729312 1636910 
19704,2341890 2182484 2330317 700684 712930 
20101,105999 1550605 657183 850007 1244196 
20679,657183 2466095 1984327 1386412 1443706 
20815,1317915 2770160 1386412 415358 2501356 
20979,1029640 485102 128605 2198252 1702541 
21195,2002097 1567110 784737 1438082 1520277 
21324,2645314 2376419 1301316 581249 636889 
21578,2778525 1244196 1386412 657183 2791339 
21627,973863 2093033 1056667 1386412 1001431 
21663,2617752 213472 2548962 1772053 134458 
21813,2024094 278589 1886939 2588490 1434088 
