user_id,recommended_items
285,161547 1808563 1258303 2405262 2123252 
902,1162250 1244196 1443706 457843 1776696 
948,1053542 1244196 1148893 1443706 2157569 
1183,1096406 2117630 2214708 2443046 266412 
1286,2778525 1244196 1386412 657183 2791339 
1509,2086041 383573 342352 1686571 2337466 
1776,2397283 939717 1602867 2196917 1876399 
1982,2778525 1244196 1386412 657183 2791339 
2742,2778525 1244196 1386412 657183 2791339 
3161,472040 78655 278589 1619669 2277810 
3256,1244196 784737 929053 1069281 266412 
3375,2778525 1244196 1386412 657183 2791339 
3547,2778525 1244196 1386412 657183 2791339 
3630,79531 2712481 2750191 2445526 780835 
3806,73218 1432568 1244196 1750840 902049 
4607,2778525 1244196 1386412 657183 2791339 
5112,2778525 1244196 1386412 657183 2791339 
5627,374376 2802026 1937957 314274 345660 
5686,926828 2160707 475804 2493654 842457 
5738,2310939 1774879 2265362 538069 680340 
5839,1443706 266412 1069281 2698468 1952969 
6442,211719 1422652 1816581 2337797 2754392 
7182,2687682 2014172 1183228 2489267 1373703 
7693,2778525 1244196 1386412 657183 2791339 
8316,2476988 2711809 2127017 83100 2264727 
9660,1386412 1262034 2734492 700509 1265969 
9680,1359029 10811 431272 1310205 2757405 
10044,388367 2232786 1604641 1517153 1689319 
10316,1386412 2543716 2428065 784737 1016441 
10469,1231018 997263 920520 1262099 383573 
10470,624461 1090129 814701 1320638 2154395 
10870,2778525 1244196 1386412 657183 2791339 
10956,300053 535530 1837182 923464 1201831 
11027,688457 391706 561642 2523066 1264432 
11380,228623 2200859 882543 1443706 434421 
11423,2778525 1244196 1386412 657183 2791339 
11805,782713 1001431 2447920 2031674 764484 
12046,1189146 2036333 790953 1519810 1435964 
12097,1386412 1695664 1092821 126218 494504 
12233,2778525 1244196 1386412 657183 2791339 
12593,2415538 1435542 2830138 2107221 151591 
12626,2023091 2521535 1911499 1773768 1769591 
12630,621322 662225 2299554 1129350 1717731 
12671,522348 635882 529889 1646403 789747 
12689,2502279 720931 2013158 2415296 1478056 
12750,43746 1854085 657183 2760857 354268 
12852,2609165 759567 184357 1876513 406835 
13715,2778525 1244196 1386412 657183 2791339 
14269,1607107 985459 823512 1244196 485548 
14624,468120 2420135 1656352 2109738 1884548 
14792,1244196 2698468 468120 1679143 1162250 
14966,169068 2341836 504015 2184165 2469981 
15006,1768401 723777 1529488 1018773 338695 
15100,529619 148365 1508001 2295019 1029608 
15549,1386412 784737 2002097 1092821 2268646 
15611,1695664 2471602 55931 1240500 306921 
16228,2778525 1244196 1386412 657183 2791339 
16874,1244196 158526 1386412 1928254 2002097 
16971,1565544 1859722 2512859 582631 1854924 
18097,1353323 1643703 1168736 2682419 1428371 
18564,1295570 1796272 81952 1576126 1147470 
18796,269398 1014523 750033 1822566 1838816 
18994,595572 1834588 169751 1508077 2111288 
19544,1919107 1494192 871252 2672065 1914196 
19679,1469095 510710 2442934 1098998 216052 
19704,2330317 2182484 2770160 106801 788342 
20101,2157649 919742 1550605 105999 1396517 
20679,2778525 2489959 1162250 1386412 1244196 
20815,2770160 1432568 1551883 1317915 473865 
20979,485102 1029640 1970244 399598 2242730 
21195,1443706 1244196 2572073 931519 1084672 
21324,234084 2073218 1167500 2645314 1677080 
21578,2778525 1244196 1386412 657183 2791339 
21627,1102456 266817 1953745 43306 2093033 
21663,92686 2617752 213472 2707666 30400 
21813,1585842 2024094 2588490 640862 59091 
21835,468120 2420135 1069281 1443706 2313894 
22107,2251758 457843 2348573 1907046 1262099 
22206,2639969 1096094 2131853 650000 976879 
22591,1834588 1262099 383573 342352 1078888 
22728,2778525 1244196 1386412 657183 2791339 
23229,2778525 1244196 1386412 657183 2791339 
23361,508531 2512859 291687 1672383 278589 
23459,1151791 1247944 570890 707239 445302 
23667,2471510 410738 1274654 734196 701000 
23718,2831727 1181698 1244196 266412 1443706 
24419,2778525 1244196 1386412 657183 2791339 
24465,2500175 657183 859700 536047 2584486 
25906,1774071 776006 1053542 1229323 273337 
26038,58071 1742604 1460626 657183 18872 
26658,613129 2378832 378917 1383415 667733 
27187,2348573 1776696 1432568 2314914 1277973 
27501,1020875 199255 2055851 942797 436974 
27638,1695664 771416 2081639 1888355 393952 
27707,2832662 755753 1652172 194778 1492901 
27727,1524050 1140869 363843 2680669 612738 
27845,536047 2581784 657183 823512 1042196 
27931,2704587 342352 1941342 947691 1566435 
28232,2698338 120395 2166540 1340660 1545757 
28739,1449442 806981 1274336 2822465 930591 
28801,1376234 1471919 919179 1853276 960193 
28972,1452579 2778525 1244196 1361778 1386412 
29072,1074013 2770160 1086695 119830 340121 
29146,1900852 2092656 1243037 850021 1377249 
29212,931519 1728166 7538 1762016 2161048 
29340,2337857 904391 1287323 1545887 1336689 
29449,1386412 340121 1149693 557005 784737 
29519,1162250 343377 2466095 784737 266412 
30094,2712821 1818827 517620 569351 702511 
30368,2778525 1244196 1386412 657183 2791339 
30774,2778525 1244196 1386412 657183 2791339 
30910,1695664 1165605 1328208 2215624 1212118 
31318,1300183 1386412 2277810 933025 2437289 
32111,2778525 1244196 1386412 657183 2791339 
32371,517620 103937 876063 1506681 2229497 
32434,1765833 2618175 1859894 830372 371195 
33119,2778525 1244196 1386412 657183 2791339 
33317,2080213 2164654 1033588 2040236 1279643 
33492,67174 1595372 183442 776079 1150397 
33552,2778525 1244196 1386412 935545 657183 
33704,1386412 784737 536047 1443706 1244196 
35125,380595 107246 2078554 2797144 383039 
35517,774818 2015500 2391422 2801020 781372 
35752,1443706 343377 266412 2827170 525107 
36049,1477734 816027 2283530 576908 349988 
36125,2751339 931519 1834691 194318 1847430 
36396,2778525 1244196 1386412 657183 2791339 
36940,2595466 2546303 2671295 58071 1729705 
37187,2376471 675243 878016 1976523 639551 
37351,2053600 2672855 113648 1583355 1836142 
38059,2194493 252232 1650533 1262099 2676037 
38189,725181 2069813 1184328 1274752 1782033 
38365,2459081 2778525 1953846 1244196 445231 
38481,2552884 324207 1676825 1994193 538895 
38730,1330328 2218230 2705759 2625619 1754395 
38944,461272 2398188 2827386 1843330 340260 
39189,2778525 1244196 1386412 657183 2791339 
39773,2012370 613891 2450133 1161727 2701471 
39778,542825 924228 346781 2821403 2336274 
40141,1053542 1984327 2816640 830073 1241609 
40180,565050 744459 1799509 1563211 450303 
40246,1056317 439558 2316511 2262078 949686 
40468,485054 2716010 2108842 1613050 383573 
41309,2778525 1244196 1386412 657183 2791339 
41345,2800789 1262099 2701471 2571800 342352 
41383,1325819 1362866 1421389 842156 1286433 
41403,1838078 2603642 2637434 2471849 1502840 
41629,2714807 1447302 526154 477856 1907046 
41649,460717 2024094 794156 2691131 1126966 
42051,140830 749025 1225403 964892 918665 
42321,2778525 1244196 1386412 657183 2791339 
42617,1025299 1604573 258349 2578397 1941342 
42912,2778525 2800967 1244196 1262099 2571800 
43088,194241 2231955 292513 2557364 1026543 
43399,2204165 951466 1306367 2750556 671237 
43444,2778525 1244196 1386412 657183 2791339 
44628,2213987 612412 2683609 2336782 2813646 
46074,2778525 1244196 1386412 657183 2791339 
46106,1009366 1850618 2705759 2039426 1184304 
46377,81564 1447302 2771419 778416 968392 
46391,1254543 940554 886874 1644114 866686 
46874,657183 1092821 536047 2680669 784737 
47353,278162 1240596 2106311 607764 2020553 
47387,2384800 2470569 138422 2754629 1876970 
47475,235827 1092821 1008509 536047 1977458 
47662,2241130 1626821 2808334 2034234 2219078 
48463,2778525 1244196 1386412 657183 2791339 
48478,2778525 2310939 680340 1615362 538069 
48675,574557 2314169 432522 1186797 765598 
48789,2165626 2049946 1830993 256095 2327186 
49239,2415538 2830138 1726380 2791339 594862 
49334,516723 2353766 2280570 453607 2178845 
49418,494929 1386412 657183 1683274 1092821 
49794,1439190 848317 1367732 1704346 1760118 
50754,2784346 1262099 2774804 2571800 2337466 
50874,2353422 2503726 2131741 1830651 2005093 
51289,102006 741480 111553 1870464 1996291 
51380,1597526 1174707 1092821 2778525 1244196 
51416,1224460 775484 2824370 2735894 449441 
51445,2710882 512241 1672383 934906 560898 
51851,536047 818187 2789705 317785 1391673 
52067,2698468 1754395 350611 1126490 466209 
52207,2183922 1857507 652935 2140236 1006232 
52730,1386412 1244196 266412 343377 1249278 
52831,306921 131076 1410585 657183 818888 
53121,2814173 2418549 1359640 1864789 950018 
53574,484200 2399688 482771 2115383 186124 
53638,1194598 1936328 770454 2113458 2163770 
53677,758113 2786340 522634 1445696 913683 
53760,117513 2462072 2396028 97392 2117618 
53874,882380 259359 1874092 2512414 20049 
54382,1386412 2062738 939813 2791339 657183 
55261,1419600 703873 262552 1793593 2668025 
55358,1588612 2417467 2784272 967007 569889 
55450,2747710 1199807 2229410 1780277 569761 
55534,2778525 1244196 1386412 657183 2791339 
56110,2093466 2159515 1585675 1093296 1760443 
56216,468120 1679143 407784 2459081 2420135 
56227,951920 161269 1194436 1627875 2243928 
56317,736830 1438082 1358161 808917 931519 
56439,2778525 384116 1718887 1387030 669552 
57013,2625619 2744494 266412 1008509 92053 
58197,1434088 1686458 1386412 1092821 536047 
58250,2472534 1254543 2520367 2715790 782514 
58548,1323535 1338516 77149 2374912 1033588 
58600,1039786 2791339 2325036 723096 2778525 
58624,2778525 1244196 680340 538069 823512 
58695,854455 1373048 333000 2250193 379714 
58784,2778525 1244196 1386412 657183 2791339 
58798,2778525 1244196 1386412 657183 2791339 
58833,1695664 1519543 2698468 595045 1799849 
59104,1355739 364185 2413494 1550237 74389 
59135,988691 2738174 659571 1580300 1933555 
59546,1836572 2631964 665194 2654786 2662501 
59782,2492753 319083 654546 1545642 881158 
