user_id,recommended_items
285,1728166 2712821 1808563 922410 2123252 
902,1776696 1443706 1244196 2791339 657183 
948,1053542 1244196 2778525 657183 1386412 
1183,1096406 579292 2117630 2393265 77400 
1286,2778525 1244196 1386412 657183 2791339 
1509,1865831 2086041 2182715 1686571 1376058 
1776,2397283 623022 1602867 2468340 2196917 
1982,2778525 1244196 1386412 657183 2791339 
2742,2778525 1244196 1386412 657183 2791339 
3161,472040 78655 1619669 1386412 723096 
3256,1244196 929053 2244175 784737 657183 
3375,2778525 823512 1244196 784737 2031981 
3547,2778525 1244196 1386412 657183 2791339 
3630,79531 2712481 1244196 2750191 2445526 
3806,1472716 1244196 902049 499178 973448 
4607,2778525 1244196 1386412 657183 2791339 
5112,2778525 1244196 1386412 657183 2791339 
5627,374376 2593483 1937957 314274 345660 
5686,926828 2160707 2309898 475804 2138292 
5738,2778525 1244196 2310939 2545674 538069 
5839,657183 1386412 2778525 2698468 1069281 
6442,2526744 211719 315406 1928254 1751372 
7182,2687682 2014172 2489267 2003041 429221 
7693,2778525 1244196 1386412 657183 2791339 
8316,2476988 2127017 499178 123885 1982238 
9660,1386412 2227201 1262034 700509 2380306 
9680,624750 1359029 2272823 2184058 10811 
10044,388367 1208433 2232786 81416 209266 
10316,784737 1386412 2002097 2543716 657183 
10469,2391945 2825431 1155746 1231018 920520 
10470,2154395 353289 1320638 2686231 161347 
10870,2778525 1244196 1386412 657183 2791339 
10956,2372201 1837182 546579 300053 923464 
11027,466173 688457 1511831 1087413 391706 
11380,228623 1244196 1386412 434421 2200859 
11423,2778525 1244196 1386412 657183 2791339 
11805,2031674 1001431 178439 2062952 2368324 
12046,1189146 607052 2036333 878217 931565 
12097,1695664 1386412 1092821 657183 126218 
12233,2778525 1244196 1386412 657183 2791339 
12593,1435542 1001431 1534045 2107221 702963 
12626,1322673 2521535 2292469 2580699 1631256 
12630,2393613 2299554 1129350 2761339 1823509 
12671,830631 2453965 522348 529889 1646403 
12689,1098944 2502279 1105190 269945 720931 
12750,43746 1854085 657183 2760857 1386412 
12852,2394849 1972115 2609165 406835 932497 
13715,2778525 1244196 1386412 657183 2791339 
14269,823512 1244196 1053542 1140869 1386412 
14624,468120 1443706 2313894 657183 2420135 
14792,1244196 2778525 468120 1140869 2698468 
14966,310819 169068 1657452 1957692 504015 
15006,1499394 723777 1768401 2427786 1876513 
15100,1299042 148365 529619 1099170 1316226 
15549,2268646 1386412 2123252 784737 1214672 
15611,55931 306921 1386412 1754395 2002097 
16228,2778525 1244196 1386412 657183 2791339 
16874,2791339 1244196 2002097 536047 1984327 
16971,1328711 1859722 725769 194241 825883 
18097,339478 1353323 1643703 1168736 1815493 
18564,1576126 1295570 1796272 81952 1147470 
18796,2730930 269398 1014523 1551995 1822566 
18994,1056667 1834588 595572 169751 1508077 
19544,1919107 1803942 914870 1449872 2419733 
19679,1469095 153323 510710 445231 1159573 
19704,2330317 499178 788342 2182484 2770160 
20101,105999 2157649 919742 744945 1396517 
20679,2466095 2778525 1244196 1984327 1386412 
20815,415358 2348573 568191 1472716 1551883 
20979,1029640 485102 399598 2242730 28649 
