user_id,recommended_items
285,445557 1281535 2308814 2060191 2833165 
902,1367527 1332140 983047 1228503 2186567 
948,1262099 1694879 21211 921999 696550 
1183,1262099 2228142 921999 696550 2285550 
1286,1262099 1694879 21211 921999 696550 
1509,1262099 1694879 21211 921999 696550 
1776,1262099 1206814 696550 2285550 152788 
1982,1262099 2571800 2337466 1941342 2513050 
2742,1262099 2571800 2337466 1941342 2513050 
3161,1262099 1694879 21211 921999 696550 
3256,1262099 2228142 921999 696550 2285550 
3375,1262099 1206814 696550 2285550 152788 
3547,1262099 2571800 2337466 1941342 2513050 
3630,1012076 1281993 1664146 1265683 2136327 
3806,2012661 2794582 2406976 1332140 1427329 
4607,1262099 2571800 2337466 1941342 2513050 
5112,1262099 2571800 2337466 1941342 2513050 
5627,1262099 1694879 21211 921999 696550 
5686,1262099 2228142 921999 696550 2285550 
5738,410048 514502 2186567 756519 764984 
5839,1262099 2228142 921999 696550 2285550 
6442,426738 1857465 1212684 2515426 1560206 
7182,585171 3893 1601651 508979 2282253 
7693,1262099 2571800 2337466 1941342 2513050 
8316,507987 1643037 1608835 2641727 2804607 
9660,1262099 913843 2285550 152788 343696 
9680,1262099 2228142 921999 696550 2285550 
10044,1262099 1694879 21211 921999 696550 
10316,1262099 1694879 21211 921999 696550 
10469,1262099 1694879 21211 921999 696550 
10470,1262099 2228142 921999 696550 2285550 
10870,1262099 2571800 2337466 1941342 2513050 
10956,1474342 1714882 2332300 2418295 2619816 
11027,2344883 997045 2473351 1234094 1157861 
11380,1262099 2228142 921999 696550 2285550 
11423,1262099 2571800 2337466 1941342 2513050 
11805,1262099 1206814 696550 2285550 152788 
12046,1262099 2228142 921999 696550 2285550 
12097,1262099 1206814 696550 2285550 152788 
12233,1262099 2571800 2337466 1941342 2513050 
12593,1262099 2228142 921999 696550 2285550 
12626,1357780 2451241 1196697 978322 2293401 
12630,1262099 2228142 921999 696550 2285550 
12671,1262099 2228142 921999 696550 2285550 
12689,1262099 2228142 921999 696550 2285550 
12750,1601651 377491 1349794 197184 1037951 
12852,1412363 992746 2799618 1079706 612412 
13715,1262099 2571800 2337466 1941342 2513050 
14269,1262099 913843 2285550 152788 343696 
14624,1671498 2753877 2007413 2379102 1809248 
14792,1262099 2228142 921999 696550 2285550 
14966,1262099 1694879 21211 921999 696550 
15006,1262099 1694879 21211 921999 696550 
15100,1262099 1694879 21211 921999 696550 
15549,1262099 2228142 921999 696550 2285550 
15611,1262099 1694879 21211 921999 696550 
16228,1262099 2571800 2337466 1941342 2513050 
16874,1262099 597331 2699099 2793236 1369736 
16971,451103 2825776 1509272 2757852 776693 
18097,1262099 1694879 21211 921999 696550 
18564,1262099 1694879 21211 921999 696550 
18796,1262099 2228142 921999 696550 2285550 
18994,2699849 295017 2128354 1047824 580048 
19544,1262099 1206814 696550 2285550 152788 
19679,1262099 2228142 921999 696550 2285550 
19704,1262099 2228142 921999 696550 2285550 
20101,1262099 1694879 21211 921999 696550 
20679,1262099 1694879 21211 921999 696550 
20815,2333168 1637976 303841 142983 354211 
20979,2124761 2737461 961137 2428318 2281309 
21195,1262099 1206814 696550 2285550 152788 
21324,1643838 2775343 2655961 2281270 2398385 
21578,1262099 2571800 2337466 1941342 2513050 
21627,2739000 2300842 2021936 1946960 357792 
21663,1262099 1412774 1369736 467643 1161338 
21813,1262099 913843 2285550 152788 343696 
21835,1262099 2228142 921999 696550 2285550 
22107,1262099 2228142 921999 696550 2285550 
22206,1674701 2139420 544601 1878175 840815 
22591,1262099 2228142 921999 696550 2285550 
22728,1262099 2571800 2337466 1941342 2513050 
23229,1262099 1694879 21211 921999 696550 
23361,1329627 1720387 108516 502121 2615473 
23459,1262099 2228142 921999 696550 2285550 
23667,695430 1183228 1064524 1529439 1929591 
23718,1262099 1206814 696550 2285550 152788 
24419,1262099 2571800 2337466 1941342 2513050 
24465,1262099 2402371 1492737 21211 921999 
25906,1262099 1521009 152788 343696 711816 
26038,1001046 372061 1603259 1212349 1083285 
26658,1262099 913843 2285550 152788 343696 
27187,1262099 2228142 921999 696550 2285550 
27501,1542531 372061 2755079 2404083 507987 
27638,748822 245454 1486915 372061 1454476 
27707,63076 760863 254162 695430 1267873 
27727,1262099 2228142 921999 696550 2285550 
27845,1262099 913843 2285550 152788 343696 
27931,1262099 1694879 21211 921999 696550 
28232,598011 845945 2065051 2451425 1141061 
28739,1509276 2335469 2699849 2788653 1842540 
28801,372061 748822 571207 1259770 1001046 
28972,1666125 2717633 1922872 2739000 641178 
29072,1262099 2228142 921999 696550 2285550 
29146,1262099 1694879 21211 921999 696550 
29212,1262099 1206814 696550 2285550 152788 
29340,1262099 2228142 921999 696550 2285550 
29449,1262099 1521009 152788 343696 711816 
29519,1262099 2228142 921999 696550 2285550 
30094,2635526 517566 1339036 802795 1850255 
30368,1262099 2571800 2337466 1941342 2513050 
30774,1262099 2571800 2337466 1941342 2513050 
30910,2448401 939543 1829159 919459 650831 
31318,2485080 476416 1106491 2655545 947165 
32111,1262099 2571800 2337466 1941342 2513050 
32371,162961 169751 2482075 1674959 118952 
32434,1262099 1694879 21211 921999 696550 
33119,1262099 2571800 2337466 1941342 2513050 
33317,1262099 1694879 21211 921999 696550 
33492,1262099 2228142 921999 696550 2285550 
33552,521912 1900912 1856864 1441660 2730720 
33704,1262099 1206814 696550 2285550 152788 
35125,2164654 348216 636447 2807061 525094 
35517,1262099 2228142 921999 696550 2285550 
35752,1262099 1206814 696550 2285550 152788 
36049,2692744 663441 2747574 404631 516528 
36125,1262099 2228142 921999 696550 2285550 
36396,1262099 2571800 2337466 1941342 2513050 
