user_id,recommended_items
285,1818827 161547 1038899 702511 1084945 
902,358411 1206860 1443706 1776696 1878292 
948,1053542 2157569 630085 2184165 571817 
1183,2443046 785331 1262099 2578397 1941342 
1286,2778525 1244196 1386412 657183 2791339 
1509,2778525 1244196 1386412 657183 2791339 
1776,2397283 2805839 1602867 1876399 324561 
1982,2778525 1244196 1386412 657183 2791339 
2742,2778525 1244196 1386412 657183 2791339 
3161,78655 1619669 2277810 1728166 1262099 
3256,929053 2244175 333784 928817 1876889 
3375,2778525 1244196 1386412 657183 2791339 
3547,2778525 1244196 1386412 657183 2791339 
3630,2087076 2514951 285749 177825 1754448 
3806,902049 1244196 1064310 2181139 972388 
4607,2778525 1244196 1386412 657183 2791339 
5112,2778525 1244196 1386412 657183 2791339 
5627,374376 1937957 314274 1262099 1455450 
5686,842457 2140358 507451 316060 2292128 
5738,1774879 2310939 538069 257496 2760067 
5839,1952969 1569008 2574702 2738512 1595938 
6442,43306 810121 401522 2460014 2315271 
7182,2489267 2014172 2340784 248636 2687682 
7693,2778525 1244196 1386412 657183 2791339 
8316,20049 918760 211113 1118939 1139096 
9660,392352 2709027 700509 1262034 2268963 
9680,10811 431272 798925 1359029 2757405 
10044,388367 2232786 81416 1208433 2071024 
10316,1771645 1962993 709754 413215 2000682 
10469,2778525 1244196 1386412 657183 2791339 
10470,1320638 2768702 1812491 1720816 2523343 
10870,2778525 1244196 1386412 657183 2791339 
10956,462209 1302734 2204165 184517 2396877 
11027,688457 466173 1147424 1791528 642488 
11380,228623 1262099 342352 1941342 2513050 
11423,2778525 1244196 1386412 657183 2791339 
11805,1882637 1671161 2336914 379076 967521 
12046,2036333 790953 2486783 2334635 1244916 
12097,1695664 126218 201335 1739743 2712481 
12233,2778525 1244196 1386412 657183 2791339 
12593,1469359 702963 2405262 1435542 78655 
12626,617610 2630733 353713 197449 1589286 
12630,784181 1160221 1965165 1823509 2299554 
12671,524925 2568608 383573 342352 2337466 
12689,2502279 720931 2415296 1454707 1478056 
12750,2760857 354268 1854085 75845 1561878 
12852,406835 1102260 1972115 1287766 932497 
13715,2778525 1244196 1386412 657183 2791339 
14269,985459 1607107 485548 1691082 455945 
14624,468120 2498173 787691 1415420 1004203 
14792,2698468 2231082 1015502 1242345 1569245 
14966,1065643 2043444 1919608 504015 100343 
15006,1768401 338695 953241 324066 356159 
15100,1029608 1099170 529619 2153072 1316226 
15549,2778525 1244196 1386412 657183 2791339 
15611,55931 933025 632026 1571713 1224868 
16228,2778525 1244196 1386412 657183 2791339 
16874,1386412 1928254 1244196 625711 1162250 
16971,1859722 1308032 582631 1168923 2509697 
18097,1428371 2571800 2337466 1941342 2513050 
18564,1796272 1147470 1295570 1040704 1099911 
18796,1822566 760206 2706865 342352 2337466 
18994,169751 1508077 1785829 1399869 189802 
19544,1494192 871252 2065488 787803 448560 
19679,1469095 2215646 387496 2198723 803421 
19704,499178 1262099 2701471 2571800 342352 
20101,2778525 1244196 1386412 657183 2791339 
20679,2778525 1244196 1386412 657183 2791339 
20815,1317915 473865 1551883 1552526 1407200 
20979,1029640 2528004 2316511 1309957 791503 
21195,1084672 2052634 808083 648857 2518568 
21324,2073218 2588490 225268 2049238 1796117 
21578,2778525 1244196 1386412 657183 2791339 
21627,266817 1953745 1593507 2186828 1748536 
21663,2778525 1244196 1386412 657183 2791339 
21813,522046 2782153 260465 1604145 834300 
21835,468120 2420135 1069281 2313894 107246 
22107,2778525 1244196 1386412 657183 2791339 
22206,2639969 976879 645790 2666693 2182682 
22591,2778525 1244196 1386412 657183 2791339 
22728,2778525 1244196 1386412 657183 2791339 
23229,2778525 1244196 1386412 657183 2791339 
23361,2512859 278589 695430 1773768 2593483 
23459,278589 1247944 570890 707239 1500732 
23667,2075582 2741322 1274654 2351383 2471510 
23718,1443706 266412 1244196 1776330 650831 
24419,2778525 1244196 1386412 657183 2791339 
24465,2500175 2584486 859700 802799 559387 
25906,1192397 2596723 1004023 1967964 1703758 
26038,1689895 81964 2578397 1941342 2513050 
26658,613129 2378832 378917 1383415 667733 
27187,654736 1472716 2314914 297265 848378 
27501,450044 435299 2562960 2708475 1020875 
27638,1695664 393952 1524219 2417168 771416 
27707,384116 1652172 1967011 1211336 755753 
27727,1809836 2680669 1140869 109925 2423893 
27845,750751 697676 1225472 426673 2203488 
27931,2704587 342352 1941342 2513050 1287319 
28232,1340660 120395 1545757 383573 1941342 
28739,806981 1274336 2121581 930591 367536 
28801,1471919 919179 1853276 960193 187413 
28972,2778525 1244196 1386412 657183 2791339 
29072,1074013 5726 185476 1086695 1429221 
29146,1900852 1243037 1377249 447312 2192350 
29212,1849280 2073499 617858 2013432 1287319 
29340,2337857 1287323 714309 2651077 921541 
29449,712901 1407200 209611 557005 340121 
29519,2778525 1244196 1386412 657183 2791339 
30094,1014151 2712821 1330328 1262099 2513050 
30368,2778525 1244196 1386412 657183 2791339 
30774,2778525 1244196 1386412 657183 2791339 
30910,350611 2734883 1165605 2215624 1531150 
31318,1300183 2277810 1132612 555502 2480339 
32111,2778525 1244196 1386412 657183 2791339 
32371,1200177 282824 517620 147908 1506681 
32434,1765833 2618175 1636910 830372 2215624 
33119,2778525 1244196 1386412 657183 2791339 
33317,2080213 1279643 2040236 72989 2731078 
33492,67174 1018726 1595372 183442 278589 
33552,2778525 1244196 1386412 657183 2791339 
33704,468120 2420135 2491223 1244196 2459081 
35125,380595 107246 1404113 2323495 383039 
35517,2801020 1770648 554226 2625619 1753441 
35752,343377 575217 2367100 741927 1542376 
36049,1477734 349988 2005941 2778525 816027 
36125,2751339 194318 1188664 1182126 2150511 
36396,2778525 1244196 1386412 657183 2791339 
36940,2595466 2257516 1088987 166340 68721 
37187,2778525 1244196 1386412 657183 2791339 
37351,2053600 1583355 458601 1602742 2720391 
38059,2778525 1244196 1386412 657183 2791339 
38189,2069813 1184328 1455450 1214070 2571800 
38365,1055359 2798437 1008863 118687 2805508 
38481,2552884 538895 2111288 265522 764484 
38730,2778525 1244196 1386412 657183 2791339 
38944,2827386 2092516 919465 2096295 461272 
39189,2778525 1244196 1386412 657183 2791339 
39773,994434 1139749 1098993 1833610 2463689 
39778,1437184 715272 695332 2157670 2533786 
40141,1984327 830073 1262099 2701471 342352 
40180,565050 744459 1563211 1306320 1874213 
40246,2262078 1056317 2692961 1517440 993687 
40468,1613050 2571800 2337466 1941342 2513050 
41309,2778525 1244196 1386412 657183 2791339 
41345,2778525 1244196 1386412 657183 2791339 
41383,1325819 1362866 1421389 1161179 1021170 
41403,2603642 1262099 1455450 2571800 342352 
41629,2778525 1244196 1386412 657183 2791339 
41649,2691131 1126966 2326685 2629798 1473515 
42051,842065 1867142 934633 140830 964892 
42321,2778525 1244196 1386412 657183 2791339 
42617,2778525 1244196 1386412 657183 2791339 
42912,1716359 2609595 659969 2455454 399306 
43088,2002097 292513 998419 680237 1098861 
43399,47583 460717 951466 1348563 1306367 
43444,2778525 1244196 1386412 657183 2791339 
44628,335428 2336782 1531419 1251759 1338810 
46074,2778525 1244196 1386412 657183 2791339 
46106,1184304 2831562 2571800 342352 2337466 
46377,778416 968392 1447302 790718 2415138 
46391,866686 987407 1204286 2797996 1014741 
46874,657183 1809836 2220227 2459081 2781618 
47353,1897111 684798 1706898 2334207 809293 
47387,1396688 617661 890726 1324922 1876970 
47475,1644077 2213987 235827 16356 1412112 
47662,2034234 2241130 2219078 432517 2027035 
48463,2778525 1244196 1386412 657183 2791339 
48478,2778525 389610 872187 2063876 1615362 
48675,1186797 765598 574557 943848 22865 
48789,2165626 1265370 1478712 2684599 2468295 
49239,1726380 594862 1095790 973151 2691939 
49334,453607 516723 2232175 1515138 2085819 
49418,494929 2603642 1695664 1683274 685972 
49794,848317 1367732 2479010 747435 1112209 
50754,2784346 1262099 2571800 2337466 1941342 
50874,1830651 2503726 593816 2302205 26133 
51289,102006 741480 111553 2425915 2263482 
51380,2778525 1244196 1386412 657183 2791339 
51416,2717170 381727 2689908 1531858 1735925 
51445,934906 560898 2157670 542825 1854409 
51851,2789705 2077189 423759 1998903 1279643 
52067,2321476 1118736 190770 1905007 1741767 
52207,1857507 2368324 2183922 1513537 1120107 
52730,468120 1244196 266412 1069281 1597482 
52831,306921 818888 131076 1410585 2347699 
53121,2226366 932330 2367518 1262099 2701471 
53574,2399688 2115383 963479 482771 1163389 
53638,2113458 1194598 1057837 2163770 1579645 
53677,758113 1445696 2758753 2688176 2354181 
53760,97392 2462072 1212042 1808597 781759 
53874,20049 259359 471381 2591789 2218097 
54382,2062738 939813 1756074 1934683 1652258 
55261,1793593 1419600 2668025 2711318 1753250 
55358,2422301 52771 2639024 1480869 1933218 
55450,1199807 2140677 2041935 1262099 383573 
55534,2778525 1244196 1386412 657183 2791339 
