user_id,recommended_items
285,1898571 1726380 628817 2443215 78440 
902,399435 1776696 1878292 75845 1443706 
948,1053542 2614160 2823490 1961467 758125 
1183,1096406 2443046 785331 2117630 1079230 
1286,2778525 1244196 1386412 657183 2791339 
1509,2778525 1244196 1386412 657183 2791339 
1776,2408413 1523947 231788 354473 680927 
1982,2778525 1244196 1386412 657183 2791339 
2742,2778525 1244196 1386412 657183 2791339 
3161,854955 2310855 2295019 1120725 1269685 
3256,929053 2244175 499810 333784 948197 
3375,2778525 1244196 1386412 657183 2791339 
3547,2778525 1244196 1386412 657183 2791339 
3630,2712481 79531 2445526 780835 1290875 
3806,1244196 1472716 902049 2002097 1140869 
4607,2778525 1244196 1386412 657183 2791339 
5112,2778525 1244196 1386412 657183 2791339 
5627,345660 1262099 2701471 342352 2337466 
5686,926828 842457 2140358 507451 316060 
5738,2310939 2265362 1774879 538069 2295534 
5839,2698468 1952969 2738512 350611 1569008 
6442,2526744 2754392 1625432 632164 211719 
7182,2014172 2489267 2003041 248636 2687682 
7693,2778525 1244196 1386412 657183 2791339 
8316,2476988 716504 123885 79135 20049 
9660,1386412 2268963 700509 2817792 1262034 
9680,624750 2184058 431272 10811 798925 
10044,2232786 388367 81416 1208433 1913741 
10316,2428065 2543716 1962993 1771645 709754 
10469,1231018 920520 1926477 2042631 814143 
10470,986950 1320638 1812491 2768702 2387329 
10870,2778525 1244196 1386412 657183 2791339 
10956,1837182 923464 1201831 47583 1000266 
11027,1791528 1147424 466173 642488 1087413 
11380,1443706 882543 228623 434421 2115187 
11423,2778525 1244196 1386412 657183 2791339 
11805,2368324 2031674 1093296 652935 526501 
12046,1189146 2334635 1244916 1843489 239428 
12097,1695664 1244196 494504 1386412 687732 
12233,2778525 1244196 1386412 657183 2791339 
12593,2405262 1469359 702963 78655 1001431 
12626,2023091 2180322 575783 1322673 617610 
12630,1160221 1965165 1823509 2299554 1129350 
12671,529889 522348 524925 1646403 2568608 
12689,835143 2416957 2013158 2477844 1239350 
12750,43746 657183 184517 1519543 547049 
12852,2255401 1091373 2182900 1287766 1074097 
13715,2778525 1244196 1386412 657183 2791339 
14269,823512 985459 1607107 485548 1691082 
14624,468120 2109738 745297 1108512 193627 
14792,1244196 468120 2698468 1569245 2781164 
14966,2184165 2469981 1919608 1065643 100343 
15006,1768401 723777 944639 479595 1423037 
15100,148365 2295019 1029608 1099170 529619 
15549,2268646 1214672 2351004 873147 178493 
15611,55931 306921 632026 1571713 1224868 
16228,2778525 1244196 1386412 657183 2791339 
16874,1928254 1386412 1244196 79531 2778525 
16971,2512859 777911 1777889 1308032 1140869 
18097,1428371 42465 2396028 624264 921541 
18564,1295570 1576126 1040704 1796272 1147470 
18796,1822566 2730930 269398 385584 760206 
18994,698123 951204 1184891 1640415 1227036 
19544,2672065 929802 1914196 787803 448560 
19679,1469095 510710 1153200 387496 2198723 
19704,2330317 1496101 788342 499178 973448 
20101,2778525 1244196 1386412 657183 2791339 
20679,2778525 1244196 1386412 657183 2791339 
20815,2501356 1472716 1551883 890051 2348573 
20979,1029640 1449761 485102 399598 2242730 
21195,1443706 1244196 2572073 77356 164623 
21324,2073218 2588490 2593483 2194849 1324535 
21578,2778525 1244196 1386412 657183 2791339 
21627,266817 1953745 812068 2169564 2783906 
21663,2617752 213472 2167880 57460 540531 
21813,2024094 768246 1434088 2821119 794189 
21835,468120 2313894 1069281 2420135 650831 
22107,2778525 1244196 1386412 657183 2791339 
22206,335428 2730927 787368 274885 1096094 
22591,1834588 1262099 383573 342352 2337466 
22728,2778525 1244196 1386412 657183 2791339 
23229,2778525 1244196 1386412 657183 2791339 
23361,2512859 278589 2174514 1710715 887155 
23459,1391091 2313955 278589 1247944 570890 
23667,2471510 734196 1415420 1735458 859110 
23718,1443706 266412 1181698 1776330 650831 
24419,2778525 1244196 1386412 657183 2791339 
24465,2500175 2584486 882543 536047 859700 
25906,2774426 265564 366083 1703758 2434752 
26038,2257516 1689895 81964 320076 81104 
26658,278589 2694195 2642105 886884 349653 
27187,2449432 654736 314274 2314914 925751 
27501,2055851 1020875 942797 130565 2692362 
27638,1695664 1211165 771416 1524219 2222699 
27707,384116 1652172 1211336 1967011 1472192 
27727,1140869 1809836 2680669 109925 79531 
27845,2581784 657183 750751 697676 536047 
27931,2704587 342352 1941342 2513050 1287319 
28232,1340660 1545757 120395 2698338 2695791 
28739,806981 1274336 2121581 1929110 1153530 
28801,1376234 960193 2573562 187413 2130753 
28972,1007361 1452579 1994344 2511483 1922984 
29072,1074013 1086695 340121 186124 1776696 
29146,1243037 1900852 1377249 783582 447312 
29212,1349223 2073499 1849280 1652584 679795 
29340,2337857 1283077 714309 1287323 262871 
29449,557005 209611 340121 1407200 2249010 
29519,1162250 343377 1262099 2578397 1941342 
30094,1014151 2712821 1330328 1541384 1613989 
30368,2778525 1244196 1386412 657183 2791339 
30774,2778525 1244196 1386412 657183 2791339 
30910,1165605 2734883 2215624 1593756 350611 
31318,1300183 2791339 2470569 2043929 1682300 
32111,2778525 1244196 1386412 657183 2791339 
32371,282824 1200177 517620 1506681 876063 
32434,1765833 2618175 371195 830372 1241464 
33119,2778525 1244196 1386412 657183 2791339 
33317,2040236 2080213 72989 1279643 1312820 
33492,67174 183442 776079 1595372 2479462 
33552,2778525 1244196 1386412 657183 2791339 
33704,784737 1386412 2313894 2420135 1443706 
35125,1018651 1878292 2126500 380595 776006 
35517,2801020 1770648 554226 1693312 1753441 
35752,343377 575217 2367100 741927 1542376 
36049,1477734 816027 576908 1652986 2778525 
36125,2751339 1847430 1188664 1182126 2150511 
36396,2778525 1244196 1386412 657183 2791339 
36940,2257516 606905 2595466 1865831 1695664 
37187,2376471 675243 878016 1976523 639551 
37351,2053600 1583355 2720391 458601 1602742 
38059,2194493 1262099 2578397 1941342 2513050 
38189,2069813 300245 2710461 1184328 363420 
38365,1922465 2114265 118687 872041 1055359 
38481,2552884 764484 1108328 1226034 17132 
38730,1330328 2705759 2625619 1754395 2218230 
38944,461272 2380717 2398188 2827386 1489058 
39189,2778525 1244196 1386412 657183 2791339 
39773,2012370 613891 1161727 1139749 994434 
39778,542825 1563760 2157670 2336274 2596105 
40141,2106311 1630793 1984327 784737 830073 
40180,565050 744459 1262099 2578397 2513050 
40246,2262078 439558 1013313 274172 349653 
40468,1613050 2108842 828659 1262099 1214070 
41309,2778525 1244196 1386412 657183 2791339 
41345,2778525 1244196 1386412 657183 2791339 
41383,559359 329993 2681492 1532109 1476600 
41403,2603642 1241464 2637434 2712481 1502840 
41629,1869873 2788208 778416 2148842 2086041 
41649,460717 2024094 2648928 2326685 1126966 
42051,934633 140830 1868293 832174 842065 
42321,2778525 1244196 1386412 657183 2791339 
42617,1604573 258349 2578397 1941342 2513050 
42912,2609595 659969 1716359 2455454 399306 
43088,2002097 292513 998419 737077 2679423 
43399,47583 460717 1928254 1715268 2759433 
43444,2778525 1244196 1386412 657183 2791339 
44628,335428 1330328 2564347 1531419 972388 
46074,2778525 1244196 1386412 657183 2791339 
46106,1009366 2705759 1184304 558728 824996 
46377,778416 797433 1447302 968392 1531419 
46391,1254543 940554 886874 1935392 866686 
46874,2781618 2680669 2459081 657183 1809836 
47353,1240596 2106311 830073 784737 2454484 
47387,2470569 2613379 1324922 1876970 2675572 
47475,235827 1008509 1322531 1977458 376312 
47662,2034234 1024246 2241130 1793593 1290818 
48463,2778525 1244196 1386412 657183 2791339 
