user_id,recommended_items
285,1808563 1442095 1898571 1818827 2712821 
902,1776696 1878292 1443706 75845 399435 
948,1053542 2157569 1148893 2382795 630085 
1183,1096406 2117630 2443046 785331 1718836 
1286,1262099 1694879 21211 921999 696550 
1509,1262099 1694879 21211 921999 696550 
1776,2397283 1602867 2805839 2196917 1876399 
1982,1262099 1694879 21211 921999 696550 
2742,1262099 1694879 21211 921999 696550 
3161,78655 1619669 2277810 1728166 2736621 
3256,929053 2244175 333784 499810 948197 
3375,1262099 1206814 696550 2285550 152788 
3547,1262099 1694879 21211 921999 696550 
3630,79531 2712481 2750191 2445526 1476432 
3806,1244196 1472716 697461 902049 483316 
4607,1262099 1694879 21211 921999 696550 
5112,1262099 1694879 21211 921999 696550 
5627,374376 1937957 314274 345660 2380306 
5686,926828 475804 507451 2140358 842457 
5738,1774879 2310939 538069 2295534 2760067 
5839,2698468 1952969 1569008 2738512 2574702 
6442,211719 2754392 2460014 43306 1625432 
7182,2687682 2014172 2489267 2003041 429221 
7693,1262099 1694879 21211 921999 696550 
8316,2127017 2476988 211113 1118939 123885 
9660,1386412 2268963 1262034 700509 2817792 
9680,1359029 10811 431272 798925 2757405 
10044,388367 2232786 81416 1208433 2071024 
10316,952267 243557 1016441 152370 2109569 
10469,1231018 920520 613245 2793236 921999 
10470,1320638 2768702 1812491 1720816 2523343 
10870,1262099 1694879 21211 921999 696550 
10956,192785 2396877 1302734 872349 493729 
11027,688457 2523066 1264432 2396305 1903410 
11380,228623 2200859 1443706 152969 434421 
11423,1262099 1694879 21211 921999 696550 
11805,2031674 2062952 1093296 2368324 652935 
12046,2036333 1189146 790953 2486783 1586458 
12097,1695664 1092821 126218 201335 1739743 
12233,1262099 1694879 21211 921999 696550 
12593,1435542 2107221 151591 492792 2445301 
12626,2023091 1773768 2521535 1769591 26959 
12630,2299554 1129350 1121933 935296 863165 
12671,522348 529889 1646403 789747 2588490 
12689,2502279 720931 2415296 1478056 1454707 
12750,657183 43746 1432388 1854085 205359 
12852,2394849 2609165 1123270 184357 1152111 
13715,1262099 1694879 21211 921999 696550 
14269,1607107 985459 485548 1691082 896523 
14624,468120 2420135 1953846 1884548 2109738 
14792,1244196 2698468 468120 1899045 22934 
14966,2184165 504015 2043444 1065643 1919608 
15006,1768401 723777 1423037 2550540 954150 
15100,148365 2295019 1029608 1099170 529619 
15549,2268646 1214672 873147 178493 2351004 
15611,306921 55931 933025 1386412 1593756 
16228,1262099 1694879 21211 921999 696550 
16874,1386412 1244196 2778525 1928254 1162250 
16971,1859722 1328711 2539956 582631 2509697 
18097,1353323 1643703 1168736 1428371 266909 
18564,1295570 1796272 81952 1147470 1040704 
18796,1822566 269398 2730930 760206 2706865 
18994,595572 169751 1508077 1286433 8086 
19544,1494192 871252 2672065 372683 2065488 
19679,1469095 510710 2442934 1153200 387496 
19704,2330317 788342 499178 1262099 2285550 
20101,2157649 919742 1396517 757163 2164559 
20679,1262099 1694879 21211 921999 696550 
20815,473865 1552526 1551883 1317915 272827 
20979,1029640 485102 399598 2242730 28649 
21195,2572073 2052634 1084672 808083 648857 
21324,2593483 1167500 2073218 2588490 225268 
21578,1262099 1694879 21211 921999 696550 
21627,266817 1953745 2392306 2516153 1107339 
21663,1262099 2228142 921999 696550 2285550 
21813,1585842 2024094 768246 1928254 2821119 
21835,468120 2420135 1069281 2313894 650831 
22107,457843 2348573 1907046 335428 1262099 
22206,2639969 976879 1096094 1955247 645790 
22591,1834588 21211 696550 2285550 152788 
22728,1262099 1694879 21211 921999 696550 
23229,1262099 1694879 21211 921999 696550 
23361,2512859 291687 278589 1140869 2563373 
23459,1247944 570890 707239 1500732 278589 
23667,2471510 734196 1415420 1735458 1536780 
23718,266412 1443706 1776330 1181698 2037855 
24419,1262099 1694879 21211 921999 696550 
24465,2500175 859700 2584486 1908697 802799 
25906,2596723 2698841 273337 926840 1751016 
26038,1742604 657183 18872 1689895 81964 
26658,613129 2378832 378917 1383415 667733 
27187,314274 654736 1472716 2314914 1776696 
27501,942797 1020875 2055851 436974 2562960 
27638,1695664 771416 1524219 2222699 393952 
27707,755753 2285913 705760 1529928 1057877 
27727,2680669 1809836 1140869 109925 1585842 
27845,2581784 657183 750751 697676 1244196 
27931,2704587 1262099 2793236 21211 921999 
28232,2698338 1340660 120395 1545757 1207661 
28739,806981 1274336 367536 2121581 1929110 
28801,1376234 1471919 919179 1853276 960193 
28972,1262099 2228142 921999 696550 2285550 
29072,1074013 340121 1086695 5726 185476 
29146,1243037 1900852 1377249 783582 447312 
29212,1849280 1349223 2073499 617858 1278222 
29340,2337857 1287323 2651077 714309 1283077 
29449,340121 557005 1149693 209611 712901 
29519,1162250 343377 266412 1776330 1443706 
30094,1014151 2712821 1613989 2718704 444211 
30368,1262099 1694879 21211 921999 696550 
30774,1262099 1694879 21211 921999 696550 
30910,1165605 350611 2215624 2734883 1593756 
31318,2277810 1386412 1300183 555502 2470569 
32111,1262099 1694879 21211 921999 696550 
32371,517620 876063 1506681 2602263 1200177 
32434,1765833 2618175 830372 916670 1859894 
33119,1262099 1694879 21211 921999 696550 
33317,2080213 2040236 1279643 72989 1516990 
33492,1140869 1092821 278589 67174 1595372 
33552,1262099 1694879 21211 921999 696550 
33704,784737 1386412 2313894 1244196 1443706 
35125,380595 2455786 1829750 1602405 107246 
35517,2801020 1770648 554226 2625619 1753441 
35752,343377 2423978 830073 1984327 1269685 
36049,1477734 2778525 349988 2545674 2005941 
36125,2751339 194318 1847430 1188664 1873658 
36396,1262099 1694879 21211 921999 696550 
36940,2595466 2671295 2257516 1729705 2430982 
37187,675243 2376471 878016 1976523 639551 
37351,2053600 1583355 1602742 458601 2720391 
38059,2194493 252232 1262099 2285550 152788 
38189,2069813 1184328 1782033 2454622 1707227 
38365,1055359 1262099 21211 696550 2285550 
38481,2552884 538895 764484 2111288 1108328 
38730,1330328 2218230 2705759 2625619 277691 
38944,461272 2827386 982847 2380717 1843330 
39189,1262099 1694879 21211 921999 696550 
39773,2012370 613891 1161727 1262099 2793236 
39778,542825 1563760 2336274 2157670 2533786 
40141,1984327 830073 1072942 2106311 357250 
40180,565050 744459 1563211 450303 1306320 
40246,439558 949686 2262078 1928254 1566187 
40468,1613050 1262099 1492737 921999 696550 
41309,1262099 1694879 21211 921999 696550 
41345,1262099 1694879 21211 921999 696550 
41383,1638675 1739253 1325819 1362866 1421389 
41403,2603642 2712481 2698468 1241464 1386412 
41629,2086041 778416 988899 1869873 358270 
41649,460717 2024094 2648928 1126966 2326685 
42051,749025 1225403 964892 832174 1770423 
42321,1262099 1694879 21211 921999 696550 
42617,1604573 258349 1262099 467643 921999 
42912,1262099 1694879 21211 921999 696550 
43088,292513 2002097 348599 2326315 998419 
43399,951466 1306367 1348563 671237 47583 
43444,1262099 1694879 21211 921999 696550 
44628,2336782 1251759 2226283 1295570 409615 
46074,1262099 1694879 21211 921999 696550 
46106,2705759 1009366 1184304 558728 824996 
46377,1447302 778416 968392 430533 700387 
46391,1254543 940554 866686 886874 2618356 
46874,2781618 2680669 1809836 657183 2459081 
47353,607764 684798 1897111 1706898 1742351 
47387,1876970 2470569 2613379 2675572 2211445 
47475,1644077 2213987 160372 592267 16356 
47662,2034234 2219078 2241130 748870 1931715 
48463,1262099 1694879 21211 921999 696550 
48478,2778525 1998862 1828165 2771276 872187 
48675,574557 1186797 765598 176778 748822 
48789,2165626 2327186 2051097 1659407 2235909 
49239,2791339 1726380 2712821 243570 594862 
49334,453607 516723 2061955 1515138 2232175 
49418,494929 1683274 1183379 1240745 2642267 
49794,848317 1439190 1704346 1760118 1830488 
50754,2784346 1262099 2793236 1492737 21211 
50874,1830651 2503726 593816 2302205 26133 
51289,102006 741480 111553 2425915 2263482 
51380,1262099 2228142 921999 696550 2285550 
51416,775484 2824370 1531858 19979 1735925 
51445,934906 560898 2778525 2647518 98760 
51851,536047 2789705 1998903 2077189 423759 
52067,2698468 1126490 1626862 2429594 2564059 
52207,1857507 2368324 1513537 1120107 1699177 
52730,1244196 266412 468120 72465 2466095 
52831,306921 131076 1410585 818888 1777100 
53121,1359640 1864789 1238752 2077469 2226366 
53574,484200 2399688 963479 2115383 482771 
53638,1194598 1936328 2113458 2163770 2819825 
53677,758113 1445696 2758753 2688176 2354181 
53760,97392 2462072 2117618 1212042 1808597 
53874,259359 1874092 20049 1591624 2512414 
54382,1386412 939813 2062738 1934683 1756074 
55261,1419600 1793593 2668025 1212827 653082 
55358,1784135 2020029 388178 1969499 2654786 
55450,1199807 1488669 2024298 1700993 50481 
55534,1262099 1694879 21211 921999 696550 
56110,2093466 2159515 1760443 2062952 1849280 
56216,2337230 836451 407784 169068 1317513 
56227,1830993 2243928 984924 951920 512040 
56317,736830 2000434 808917 1358161 57762 
56439,1262099 1694879 21211 921999 696550 
57013,2744494 1008509 92053 1212118 844416 
58197,1092821 1434088 876978 1686458 1984327 
58250,2715790 782514 2520367 2472534 2058279 
58548,1323535 77149 2374912 1033588 2608443 
58600,1262099 2228142 921999 696550 2285550 
58624,1262099 2228142 921999 696550 2285550 
58695,333000 2250193 379714 301671 269073 
58784,1262099 1694879 21211 921999 696550 
58798,1262099 1694879 21211 921999 696550 
58833,1695664 1519543 2698468 657183 606905 
59104,1355739 716504 2097556 611630 2084369 
59135,988691 2738174 659571 1011308 2574941 
59546,1836572 2631964 2654786 665194 2662501 
59782,2492753 881158 319083 2601330 2270881 
59842,2069813 1541359 1295570 297118 849943 
60155,1777100 169068 2584911 1551098 30412 
60471,656507 2368632 2593290 268677 1733199 
60496,1262099 1694879 21211 921999 696550 
61016,1262099 2228142 921999 696550 2285550 
61298,2778525 608097 1473094 1097917 1721100 
61873,107638 2631317 2590469 94929 1180015 
62808,2311743 215392 1693774 476372 1499573 
62908,1162250 1240596 1443706 2362916 2798483 
62914,1262099 1694879 21211 921999 696550 
63061,1262099 1694879 21211 921999 696550 
63163,289273 191281 1086171 1882624 230717 
63322,829088 2339881 277648 1201546 799719 
63597,2591944 1201610 952835 568926 1549598 
63753,2215849 1857507 1626201 925131 652935 
63872,1410390 2643805 951620 1152795 2691237 
64303,657183 1386412 784737 1984327 343377 
64930,1001511 2008180 1548605 366057 288247 
65592,1361956 478799 2653847 2371498 72465 
66592,590874 1995511 289761 2381714 2575641 
66908,1262099 1694879 21211 921999 696550 
67173,1054203 113050 390537 2217711 1240567 
67354,1153961 2827170 1492887 409422 1894573 
67659,549843 1854085 2466095 2616802 2031981 
67705,1878292 1277973 1018651 1060855 2463127 
67752,1262099 1694879 21211 921999 696550 
67939,744609 509645 349653 371590 1077207 
69088,1262099 1694879 21211 921999 696550 
69418,79531 777911 2770908 1264311 2182050 
69428,665194 967007 2371498 1262099 1369736 
69757,1080935 183374 1900952 2484384 1939406 
70134,1841463 2778662 776155 657183 1765833 
70534,2311396 1814370 323086 185394 964035 
70547,1068553 1725014 2641038 911310 1203065 
70649,468120 772414 1196465 2466095 1812692 
70855,2265526 2258655 1596007 1724738 1807932 
71226,1092821 2791339 1387836 847199 2507878 
72027,1386412 536047 2198329 2049946 1830993 
72461,933472 562914 671150 2418886 2812130 
72570,1262099 1694879 21211 921999 696550 
73454,1262099 1694879 21211 921999 696550 
73471,2034234 1096192 1155556 2414343 2456017 
73525,2754205 1372395 2208375 2785201 1241941 
74032,1262099 1694879 21211 921999 696550 
74663,1788462 1262099 1369736 921999 696550 
75611,1590432 434072 1441986 1376058 2540060 
76103,1262099 1694879 21211 921999 696550 
76608,662225 1354178 2663421 2373627 874136 
76720,2086265 1376427 2501356 35121 238571 
77440,635882 2729827 2241789 1106285 1528785 
77641,2673008 1807819 1358505 357250 2465194 
77738,2422612 317172 161269 1066529 218295 
77942,1262099 1694879 21211 921999 696550 
77992,2784272 1116248 1679143 1953846 767198 
78016,1262099 1694879 21211 921999 696550 
78100,1274336 2118847 2526744 1728212 870209 
78298,1262099 1694879 21211 921999 696550 
78784,265522 1056667 770613 1262409 714105 
79349,2296112 262552 1686060 2559475 39524 
79426,1388227 2524643 2770021 2615456 1223431 
79738,1262099 2228142 921999 696550 2285550 
79802,1619241 2133471 2471983 2259652 1135229 
80026,1494459 1716471 1988471 427206 728371 
80113,1262099 1694879 21211 921999 696550 
80743,1611974 1045268 2784066 2104408 1173310 
80933,2012816 1297497 1445872 2692791 2099521 
81213,1521292 1386412 1140869 1777889 2406712 
81342,2090363 290587 409422 1576725 2608319 
81375,1262099 1694879 21211 921999 696550 
82204,1907046 2086041 1752047 2149001 291669 
82500,74727 1620422 2472193 2745098 1817632 
82645,2427786 43306 1057206 1849280 542796 
82778,1907735 153945 2380717 1624781 198671 
82848,1262099 1694879 21211 921999 696550 
82953,1244196 266412 1811496 657183 948507 
83200,612155 310301 2075329 2625619 788342 
83840,683831 61714 782728 1385544 2039056 
84028,278589 557698 1345329 654547 1984327 
84579,1262099 2228142 921999 696550 2285550 
84814,1262099 1694879 21211 921999 696550 
84989,876529 1262099 1492737 921999 696550 
85006,181260 1047760 1090129 870905 907469 
85011,1350991 1316313 2183022 569351 1769599 
85432,913976 5506 118115 68670 2037477 
85921,445231 1047625 2459081 1069281 729312 
85958,1262099 1694879 21211 921999 696550 
85991,1879708 2492770 1550643 117372 1753558 
86194,1642285 1978553 1492066 687732 487795 
86285,1902651 747193 1198635 1913203 112354 
86316,931252 1577713 970015 1423069 2833767 
86856,1629658 540001 1437248 1215287 2622472 
87127,1262099 1694879 21211 921999 696550 
87569,1593640 1623663 186124 2632099 215081 
87622,1140869 460717 810956 2024094 1710872 
87629,1140869 2538002 1848896 2032117 629433 
88090,1472833 1298733 1599689 2343333 2398410 
88699,2405262 2088166 2093466 357345 2027015 
89595,1262099 1694879 21211 921999 696550 
89700,872151 2623483 1600513 295089 2187173 
90134,462493 2124560 2171176 1045268 2768923 
90275,1140869 278589 2012527 1083742 40810 
90552,649120 2222005 1885121 1711976 548753 
90609,1189146 1283135 966979 937376 1165605 
90615,139004 2625619 1244196 599025 657183 
90733,562726 1492887 1596124 1588444 1052097 
91295,2546303 1294034 2534752 1527539 364056 
