user_id,recommended_items
285,1728166 1726380 561002 1281879 2123252 
902,1244196 657183 2791339 1443706 1386412 
948,1053542 1244196 2778525 657183 1386412 
1183,1096406 579292 2117630 1244196 1664426 
1286,2778525 1244196 1386412 657183 2791339 
1509,2086041 2182715 1376058 2778525 1244196 
1776,623022 1277140 1757758 2468340 1687056 
1982,2778525 1244196 1386412 657183 2791339 
2742,2778525 1244196 1386412 657183 2791339 
3161,472040 723096 460717 1386412 2778525 
3256,1244196 657183 784737 1069281 2796479 
3375,2778525 1244196 784737 2031981 1386412 
3547,2778525 1244196 1386412 657183 2791339 
3630,1244196 1386412 1443706 415358 2625619 
3806,973448 1472716 2002097 1386412 499178 
4607,2778525 1244196 1386412 657183 2791339 
5112,2778525 1244196 1386412 657183 2791339 
5627,2802026 374376 2593483 345660 1937957 
5686,926828 2309898 475804 2138292 553187 
5738,2778525 1244196 1386412 823512 784737 
5839,657183 1386412 2778525 1443706 784737 
6442,2636095 211719 2458668 1779620 1928254 
7182,2014172 2340784 1183228 2687682 248636 
7693,2778525 1244196 1386412 657183 2791339 
8316,2476988 499178 79135 1982238 2347314 
9660,1386412 2227201 2380306 784737 2709027 
9680,2184058 624750 1310205 2272823 1359029 
10044,388367 81416 1208433 2232786 1370919 
10316,784737 1386412 2002097 657183 1162250 
10469,1739484 2641962 2547410 2348573 1756345 
10470,353289 986950 2155612 2154395 2686231 
10870,2778525 1244196 1386412 657183 2791339 
10956,2372201 192785 1302734 546579 872349 
11027,1087413 466173 1791528 1147424 1511831 
11380,1244196 1386412 1165605 1443706 2778525 
11423,2778525 1244196 1386412 657183 2791339 
11805,1001431 178439 1226034 1093296 1676825 
12046,607052 931565 1432589 1446413 2588187 
12097,1386412 1092821 657183 784737 536047 
12233,2778525 1244196 1386412 657183 2791339 
12593,1001431 702963 1534045 1216431 1619669 
12626,1322673 386410 2580699 2521535 2292469 
12630,1099748 2393613 2761339 393793 57235 
12671,2453965 830631 1646403 524925 2568608 
12689,1098944 1105190 1508724 269945 2646712 
12750,657183 1386412 1162250 2002097 2791339 
12852,406835 1102260 1972115 1496888 932497 
13715,2778525 1244196 1386412 657183 2791339 
14269,1053542 1244196 823512 278589 1140869 
14624,657183 266412 1953846 1443706 2778525 
14792,1244196 2778525 468120 1386412 657183 
14966,1657452 310819 2112431 2081994 2004956 
15006,1499394 1794685 2778662 723777 2389610 
