user_id,recommended_items
285,2712821 1258303 1056667 1818827 591811 
902,1244196 1443706 1162250 657183 2791339 
948,1053542 1244196 2778525 657183 2031981 
1183,1096406 2117630 1244196 1664426 2740821 
1286,2778525 1244196 1386412 657183 2791339 
1509,2086041 1907046 1835742 2477757 892333 
1776,1277140 1757758 939717 254458 1776330 
1982,2778525 1244196 1386412 657183 2791339 
2742,2778525 1244196 1386412 657183 2791339 
3161,472040 2277810 723096 1386412 460717 
3256,1244196 657183 784737 1069281 1443706 
3375,2778525 1244196 680340 2031981 538069 
3547,2778525 1244196 1386412 657183 2791339 
3630,415358 1244196 1317156 1443706 374376 
3806,2625432 2750191 1750840 1038792 592559 
4607,2778525 1244196 1386412 657183 2791339 
5112,2778525 1244196 1386412 657183 2791339 
5627,374376 314274 1937957 2802026 2593483 
5686,2309898 123121 640804 926828 2075582 
5738,2778525 1244196 823512 2031981 680340 
5839,1443706 657183 2778525 266412 1386412 
6442,677711 240873 2636095 1282647 863266 
7182,1183228 2014172 784887 2687682 1373703 
7693,2778525 1244196 1386412 657183 2791339 
8316,2491016 2476988 334997 1071853 2711809 
9660,1386412 2734492 356159 1177446 1447302 
9680,1310205 1359029 2757405 609071 2184058 
10044,388367 2835086 1604641 2071024 711587 
10316,1386412 784737 2002097 1092821 657183 
10469,1548362 2570454 2317069 2436303 997263 
10470,315341 932913 1720816 353289 125527 
10870,2778525 1244196 1386412 657183 2791339 
10956,300053 2396877 535530 1302734 184517 
11027,688457 1650533 2550498 1898849 466173 
11380,606905 2590469 1443706 434421 2178500 
11423,2778525 1244196 1386412 657183 2791339 
11805,1676825 2447920 782713 1548072 1001431 
12046,2036333 790953 1519810 1435964 728834 
12097,1386412 1092821 536047 657183 784737 
12233,2778525 1244196 1386412 657183 2791339 
12593,1001431 1216431 2415538 1506186 2830138 
12626,386410 1848140 1911499 962091 2372252 
12630,621322 662225 1634003 1717731 754417 
12671,312742 2275611 952102 550854 635882 
12689,2013158 1076185 2261549 1196133 1239350 
12750,657183 1386412 1162250 2791339 2002097 
12852,759567 1123270 2394849 1445649 2609165 
13715,2778525 1244196 1386412 657183 2791339 
14269,1244196 1053542 823512 278589 1140869 
14624,657183 266412 468120 1443706 2420135 
14792,1244196 468120 2778525 1162250 1679143 
14966,1657452 2081994 310819 2112431 1718261 
15006,1989397 636023 2028004 1018773 1100918 
15100,1029608 2295019 697882 66474 1607836 
15549,1386412 1244196 784737 2002097 1053542 
15611,1386412 1317915 768905 1695664 2002097 
16228,2778525 1244196 1386412 657183 2791339 
16874,1244196 1928254 2002097 79531 158526 
16971,1859722 725769 1565544 582631 1354650 
18097,1353323 1777634 2077275 2584268 866589 
18564,1576126 1244196 468120 1953846 1679143 
18796,2730930 1014523 750033 1838816 1723658 
18994,595572 1508077 219969 132221 2554433 
19544,914870 2279385 2419733 1919107 2436828 
19679,153323 534894 1159573 1098998 1972717 
19704,2330317 788342 2182484 2770160 2129958 
20101,1550605 105999 763834 1549837 2092767 
20679,1244196 2489959 343377 496893 1515408 
20815,2770160 1432568 2348573 1317915 457843 
20979,1029640 2049896 485102 1221097 36045 
21195,1244196 1520277 77356 1443706 164623 
21324,596793 2157040 234084 632560 1167500 
21578,2778525 1244196 1386412 657183 2791339 
21627,1102456 43306 2778662 1723057 2093033 
21663,92686 1594683 2617752 2167880 213472 
21813,1928254 2024094 794156 1140869 1886939 
21835,468120 2420135 657183 266412 1443706 
22107,2251758 2348573 457843 2446758 1907046 
22206,1096094 2131853 1290917 2108431 2414678 
22591,1834588 1078888 2717625 2669918 2640781 
22728,2778525 1244196 1386412 657183 2791339 
23229,1908731 1262099 1214070 342352 2337466 
23361,1105432 2092767 1672383 516103 508531 
23459,278589 445302 102981 1354650 1897594 
23667,410738 1274654 2741322 701000 473889 
23718,1244196 266412 1149693 1443706 2591944 
24419,2778525 1244196 1386412 657183 2791339 
24465,657183 536047 2002097 1386412 343377 
25906,1774071 1897941 1053542 162175 1796052 
26038,2546303 18872 2430982 58071 2257516 
26658,278589 460717 47583 79531 1595372 
27187,2348573 1776696 1424217 1432568 654736 
27501,2301756 1101023 1020875 436974 2693676 
27638,2222699 771416 1930535 2081639 289491 
27707,1211336 384116 1472192 2832662 1967011 
27727,1140869 657183 1056502 79531 2791339 
27845,1244196 536047 1053542 784737 657183 
27931,2544454 800868 1008852 2569996 306427 
28232,2546303 2166540 291669 1835742 2324766 
28739,2121581 2822465 930591 76630 295473 
28801,324207 2534594 894811 1376234 1325058 
28972,1085517 2511483 2227010 2362712 1452579 
29072,1074013 712901 1086695 1407200 1776696 
29146,1377249 447312 2192350 1243037 1900852 
29212,612155 1521930 1126440 554226 1849280 
29340,2337857 1115562 437007 1336689 1197747 
29449,1277973 2348573 712901 2002097 1386412 
29519,1162250 1244196 343377 784737 2791339 
30094,2712821 2469612 1910879 517620 2129142 
30368,2778525 1244196 1386412 657183 2791339 
30774,2778525 1244196 1386412 657183 2791339 
30910,1165605 1695664 1244196 1386412 350611 
31318,1386412 2277810 266412 1244196 933025 
32111,2778525 1244196 1386412 657183 2791339 
32371,1200177 147908 2602263 517620 2183022 
32434,1765833 2618175 830372 2719617 1165605 
33119,2778525 1244196 1386412 657183 2791339 
33317,2164654 1876143 1279643 1646403 1033588 
