user_id,recommended_items
285,922410 887776 1726380 2123252 1858896 
902,2791339 1162250 657183 1386412 1443706 
948,1053542 1244196 1443706 1162250 569889 
1183,1096406 2117630 2393265 77400 2214708 
1286,2778525 1244196 1386412 657183 2791339 
1509,1865831 1686571 2086041 1566231 567560 
1776,2468340 939717 41205 64262 20147 
1982,2778525 1244196 1386412 657183 2791339 
2742,2778525 1244196 1386412 657183 2791339 
3161,472040 278589 2348229 2623166 2124917 
3256,1244196 784737 1069281 1576126 266412 
3375,823512 538069 2310939 1947571 668899 
3547,2778525 1244196 1386412 657183 2791339 
3630,415358 2750191 447985 2625619 374376 
3806,902049 499178 1432568 73218 902591 
4607,2778525 1244196 1386412 657183 2791339 
5112,2778525 1244196 1386412 657183 2791339 
5627,2802026 2380306 1139128 2831562 1214070 
5686,926828 2160707 2418886 2493654 553187 
5738,1244196 538069 2310939 823512 182233 
5839,1069281 1443706 2313894 266412 2459081 
6442,2526744 211719 2458668 801479 1322673 
7182,1183228 2687682 2014172 1373703 2489267 
7693,2778525 1244196 1386412 657183 2791339 
8316,2476988 2347314 716504 79135 1781631 
9660,1386412 2227201 2380306 784737 1351870 
9680,624750 2272823 2803552 851128 2174115 
10044,388367 2232786 1208433 81416 1281528 
10316,784737 1386412 2002097 657183 1162250 
10469,2391945 2825431 1155746 1483617 1687167 
10470,2154395 2686231 1090129 1117173 2619118 
10870,2778525 1244196 1386412 657183 2791339 
10956,300053 2287483 192785 1302734 1241389 
11027,2295947 391706 1553111 561642 522016 
11380,434421 2200859 205039 1608366 1238924 
11423,2778525 1244196 1386412 657183 2791339 
11805,1001431 764484 1226034 1585675 2206648 
12046,790953 1796876 1519810 1073372 2628493 
12097,1386412 1092821 657183 784737 536047 
12233,2778525 1244196 1386412 657183 2791339 
12593,1534045 2415538 2548861 2830138 2625962 
12626,1322673 2580699 1911499 2521535 677711 
12630,784181 1823509 1717731 621322 1188128 
12671,830631 2453965 529889 2568608 1646403 
12689,269945 991588 2502279 2646712 2415296 
12750,657183 1386412 1162250 2791339 2002097 
12852,406835 1972115 1496888 1074097 1762898 
13715,2778525 1244196 1386412 657183 2791339 
14269,823512 1244196 1140869 1241609 1156803 
14624,468120 1443706 1069281 2459081 2313894 
14792,1244196 468120 1140869 1069281 1679143 
14966,504015 169068 1657452 908513 2275702 
15006,723777 1499394 2427786 1876513 2002097 
15100,529619 2400992 1099170 486936 551635 
15549,1386412 784737 2002097 657183 823512 
15611,2002097 1386412 1695664 1664453 1920047 
16228,2778525 1244196 1386412 657183 2791339 
16874,2791339 784737 536047 2002097 657183 
16971,194241 1328711 2539956 725769 298067 
18097,1815493 2289895 1643703 1730667 1351870 
18564,1576126 1953846 1679143 1047625 468120 
18796,1014523 750033 1838816 269398 1723658 
18994,1056667 1834588 2386570 634598 2111288 
19544,1919107 1803942 734167 2419733 1449872 
19679,445231 1047027 1098998 60317 729312 
19704,2330317 2182484 2770160 2341890 541005 
20101,105999 1550605 2354464 2639155 2606366 
20679,1162250 1386412 2791339 1854085 1249278 
20815,568191 1472716 2770160 415358 2501356 
20979,1029640 485102 1702541 2198252 2048343 
21195,1567110 1477642 784737 1438082 2128544 
21324,2645314 581249 2376419 16356 234084 
21578,2778525 1244196 1386412 657183 2791339 
21627,2093033 1056667 973863 827566 1953745 
21663,2617752 213472 30400 1470761 92686 
21813,2588490 1585842 59091 2024094 592140 
21835,468120 1069281 2313894 2420135 1443706 
22107,2251758 457843 1754448 557005 291669 
22206,274885 2730927 1096094 2830218 2131853 
22591,1834588 1239082 1782499 1078888 2742030 
22728,2778525 1244196 1386412 657183 2791339 
23229,2778525 1244196 1386412 657183 2791339 
23361,2512859 1672383 2470865 715107 2174514 
23459,2313955 1391091 1584839 659969 1151791 
23667,1274654 410738 1931528 701000 2351383 
23718,1443706 266412 1244196 2257200 1776330 
24419,2778525 1244196 1386412 657183 2791339 
24465,657183 536047 1386412 2002097 1162250 
25906,1053542 1229323 410414 776006 1004023 
26038,882543 300368 784737 2165607 1459471 
26658,2791339 2694051 1487715 1627267 1482589 
27187,141739 2348573 1776696 1432568 2314914 
27501,583741 1020875 552320 942797 2218853 
27638,771416 1695664 393952 1524219 1828811 
27707,1652172 194778 2832662 1492901 476386 
27727,1809836 2680669 109925 2167880 777911 
27845,536047 823512 657183 784737 2106311 
27931,947691 1566435 1508264 1227537 551925 
28232,1340660 291669 908778 2166540 1376058 
28739,1143366 1153530 930591 1274336 273574 
28801,1376234 1069152 447312 1960755 2318985 
28972,1452579 1361778 106261 2761561 1795064 
29072,2770160 160177 457843 185476 650449 
29146,1900852 850021 1962428 2092656 2318985 
29212,931519 526501 2774804 55199 2532207 
29340,2337857 714309 262871 1687581 2798665 
29449,784737 1386412 2002097 657183 1162250 
29519,1162250 784737 343377 2791339 1386412 
