user_id,recommended_items
285,266817 1281879 1808563 2123252 1858896 
902,657183 1244196 2791339 1443706 1386412 
948,1053542 1244196 657183 1443706 1162250 
1183,1096406 579292 2117630 1664426 77400 
1286,2778525 1244196 1386412 657183 2791339 
1509,2086041 1376058 1865831 892333 1686571 
1776,623022 1687056 1277140 1757758 2468340 
1982,2778525 1244196 1386412 657183 2791339 
2742,2778525 1244196 1386412 657183 2791339 
3161,472040 723096 665194 967007 2348229 
3256,1244196 784737 1069281 2778525 2796479 
3375,2778525 823512 42452 538069 2791339 
3547,2778525 1244196 1386412 657183 2791339 
3630,1386412 415358 2625619 447985 2750191 
3806,499178 902049 1432568 1619659 1750840 
4607,2778525 1244196 1386412 657183 2791339 
5112,2778525 1244196 1386412 657183 2791339 
5627,374376 2802026 1455450 1214070 2571800 
5686,926828 2309898 475804 553187 2418886 
5738,2778525 1244196 1129899 538069 2545674 
5839,1443706 1069281 1386412 2313894 1162250 
6442,211719 1928254 1717731 2526744 1422652 
7182,2014172 1183228 2687682 2340784 248636 
7693,2778525 1244196 1386412 657183 2791339 
8316,2476988 499178 79135 1982238 2347314 
9660,1386412 2227201 2380306 784737 1717754 
9680,2184058 624750 2272823 1408883 1017628 
10044,388367 1998138 1208433 1036466 2232786 
10316,784737 1386412 2002097 657183 1162250 
10469,2348573 1756345 2825431 2391945 1155746 
10470,2154395 2686231 161347 315341 932913 
10870,2778525 1244196 1386412 657183 2791339 
10956,300053 2372201 2287483 1302734 1519543 
11027,2295947 1087413 764256 2794672 391706 
11380,1386412 1165605 2791339 657183 434421 
11423,2778525 1244196 1386412 657183 2791339 
11805,1001431 1226034 764484 1585675 865510 
12046,607052 2628493 790953 2036333 1073372 
12097,1386412 1092821 657183 784737 536047 
12233,2778525 1244196 1386412 657183 2791339 
12593,702963 1216431 1534045 2548861 2415538 
12626,1322673 2580699 386410 2521535 2292469 
12630,2669570 1823509 784181 2393613 358958 
12671,2453965 830631 1646403 2568608 460717 
12689,1105190 269945 769420 2646712 1946484 
12750,657183 1386412 1162250 2002097 2791339 
12852,406835 1972115 1102260 1496888 932497 
13715,2778525 1244196 1386412 657183 2791339 
14269,1053542 823512 1244196 278589 1241609 
14624,266412 1443706 468120 1386412 1069281 
14792,2778525 468120 1244196 1386412 657183 
14966,169068 504015 100343 1657452 1210470 
15006,1499394 723777 231115 2813646 1092821 
15100,2400992 135147 1099170 673189 1562308 
15549,1386412 784737 1053542 2002097 657183 
15611,1386412 1317915 2002097 1695664 306921 
16228,2778525 1244196 1386412 657183 2791339 
16874,657183 1244196 536047 2002097 784737 
16971,725769 194241 1328711 2539956 825883 
18097,1353323 1428371 1815493 624264 1754395 
18564,1576126 1953846 468120 2778525 1047625 
18796,2730930 1014523 1822566 1551995 1027708 
18994,2386570 1834588 1262409 2705759 2111288 
19544,1803942 2659496 2419733 734167 537350 
19679,60317 1047027 534894 1098998 729312 
