user_id,recommended_items
285,922410 357363 602260 2712821 749025 
902,657183 2791339 1443706 1386412 1162250 
948,1053542 1244196 657183 569889 1443706 
1183,1096406 579292 2117630 1664426 2393265 
1286,2778525 1244196 1386412 657183 2791339 
1509,1865831 1686571 2546303 2086041 2590469 
1776,2468340 939717 1003954 713309 1701556 
1982,2778525 1244196 1386412 657183 2791339 
2742,2778525 1244196 1386412 657183 2791339 
3161,472040 1386412 278589 967007 2348229 
3256,1244196 784737 1069281 2796479 1047625 
3375,2778525 823512 42452 538069 2545674 
3547,2778525 1244196 1386412 657183 2791339 
3630,2750191 415358 1386412 2770160 447985 
3806,499178 902049 1432568 73218 1750840 
4607,2778525 1244196 1386412 657183 2791339 
5112,2778525 1244196 1386412 657183 2791339 
5627,2802026 374376 415358 2380306 1139128 
5686,926828 475804 553187 2075582 2418886 
5738,2778525 2310939 538069 1244196 2545674 
5839,1443706 1069281 2313894 1386412 1053542 
6442,1774071 2401164 801479 211719 2526744 
7182,2014172 2687682 2215849 1183228 248636 
7693,2778525 1244196 1386412 657183 2791339 
8316,2476988 1982238 499178 123885 848152 
9660,1386412 2227201 2380306 784737 2734492 
9680,624750 2272823 798925 10811 2184058 
10044,1036466 388367 81416 1208433 1792786 
10316,784737 1386412 2002097 657183 1162250 
10469,2825431 2348573 2391945 2583224 2458140 
10470,2154395 2686231 161347 986950 627569 
10870,2778525 1244196 1386412 657183 2791339 
10956,300053 546579 192785 2372201 2778525 
11027,1791528 612412 522016 2042286 1576170 
11380,1165605 2590469 434421 1608366 1984327 
11423,2778525 1244196 1386412 657183 2791339 
11805,1001431 1226034 84155 764484 178439 
12046,1073372 878217 1796876 790953 2036333 
12097,1386412 1092821 657183 784737 536047 
12233,2778525 1244196 1386412 657183 2791339 
12593,702963 1216431 1534045 2415538 2107221 
12626,1322673 2580699 2521535 2292469 386410 
12630,1823509 784181 2393613 1717731 621322 
12671,830631 2453965 789747 529889 1646403 
12689,1105190 269945 1135075 2646712 6271 
12750,657183 1386412 1162250 2002097 2791339 
12852,406835 1102260 1972115 1496888 1287766 
13715,2778525 1244196 1386412 657183 2791339 
14269,1053542 823512 1244196 1140869 1386412 
14624,1443706 1953846 468120 2313894 1069281 
14792,1244196 2778525 468120 657183 1140869 
14966,1657452 908513 319253 1718261 2275702 
15006,723777 231115 1499394 2768702 2427786 
15100,529619 2400992 2520574 1099170 135147 
15549,1386412 784737 1053542 2002097 657183 
15611,2002097 768905 1386412 536047 625711 
16228,2778525 1244196 1386412 657183 2791339 
16874,2002097 657183 536047 2791339 1386412 
16971,1328711 2539956 194241 298067 725769 
18097,1353323 1815493 1754395 2289895 2323802 
18564,1576126 1953846 1679143 468120 1047625 
18796,1014523 1822566 1551995 2730930 2380717 
18994,1834588 2111288 634598 265522 1056667 
19544,1919107 1803942 1709782 2659496 1449872 
19679,445231 2096789 1098998 1047027 60317 
19704,499178 2330317 608508 7538 2182484 
20101,105999 1550605 1164312 551087 2302683 
20679,2466095 1984327 1244196 2031981 1386412 
20815,2770160 415358 568191 1407200 2210816 
20979,1029640 485102 1449761 2588067 43665 
21195,1477642 1567110 784737 1443706 1520277 
21324,2645314 2376419 1167500 1539292 2520574 
21578,2778525 1244196 1386412 657183 2791339 
21627,2093033 1953745 2783906 1755502 827566 
21663,2617752 213472 2167880 1886939 1470761 
21813,2024094 1140869 1886939 278589 2588490 
21835,468120 1953846 2313894 1443706 1069281 
22107,2251758 457843 1754448 2002097 291669 
22206,274885 787368 2730927 1955247 1096094 
22591,1834588 2364286 882380 1078888 294270 
22728,2778525 1244196 1386412 657183 2791339 
23229,2778525 1244196 1386412 657183 2791339 
23361,2512859 1672383 2143484 715107 2174514 
23459,2313955 1391091 2681849 399306 659969 
23667,1274654 2720356 410738 1931528 701000 
23718,1443706 1244196 266412 2257200 1149693 
24419,2778525 1244196 1386412 657183 2791339 
24465,657183 536047 1386412 2002097 1162250 
25906,2466095 1053542 776006 259766 2618603 
26038,1689895 2546303 665666 81964 2825431 
26658,47583 1595372 1092821 2791339 657183 
27187,2348573 141739 1074013 925751 2314914 
27501,552320 435299 2055851 851374 130565 
27638,771416 1695664 393952 1524219 2417168 
27707,1652172 1057877 1211336 1492901 2256791 
27727,1140869 1386412 1809836 2002097 2680669 
27845,1053542 784737 1386412 536047 657183 
27931,947691 1420783 2310865 107372 2405262 
28232,1340660 291669 2086041 908778 1376058 
28739,1274336 2822465 1361956 1929110 1143366 
28801,1376234 187413 1522487 960193 2573562 
28972,1361778 106261 2329357 1152880 2346954 
29072,2770160 2251758 457843 160177 613717 
29146,2092656 1181656 2192350 850021 1962428 
29212,931519 617858 1849280 526501 2054114 
29340,714309 2337857 2651077 262871 1687581 
29449,784737 1386412 2002097 657183 1092821 
29519,1162250 784737 343377 2791339 1386412 
30094,2712821 1541384 1330328 2759928 2412646 
30368,2778525 1244196 1386412 657183 2791339 
30774,2778525 1244196 1386412 657183 2791339 
30910,1165605 1695664 2215624 1212118 1159573 
31318,1386412 657183 2277810 818888 734196 
32111,2778525 1244196 1386412 657183 2791339 
32371,2192524 2404094 2426590 2229497 282920 
32434,1765833 1165605 1636910 2791339 2618175 
33119,2778525 1244196 1386412 657183 2791339 
33317,2164654 22987 1677336 1646403 2080213 
33492,1140869 1092821 67174 79531 2479462 
33552,2819375 2038867 2297159 1871764 2292722 
33704,784737 1386412 536047 1443706 2002097 
35125,1887464 436637 380595 2036870 1793593 
35517,774818 1693312 356159 2801020 1477922 
35752,657183 784737 599025 129847 468120 
36049,2251704 1635575 506948 1128638 1477734 
36125,2705759 1834691 784737 636889 939550 
36396,2778525 1244196 1386412 657183 2791339 
36940,2546303 920520 2348573 2595466 1689895 
37187,1976523 714376 1590528 639551 1092821 
37351,391967 2475831 1836142 2510489 1583355 
38059,2194493 1600861 252232 1650533 2128013 
38189,1040704 1274752 468120 914866 2784272 
38365,668146 2459081 2680669 1953846 2796479 
38481,2735795 1676825 973863 1548072 17132 
38730,1330328 1244196 265522 2705759 931519 
38944,461272 1574295 1963276 442064 964898 
39189,2778525 1244196 1386412 657183 2791339 
39773,1554565 2469507 2358568 2756141 2450133 
39778,542825 439065 2376361 2336274 2778525 
40141,1053542 1386412 1241609 2816640 1928254 
