user_id,recommended_items
285,161547 1258303 2405262 1858896 1990447 
902,1162250 1244196 1443706 457843 2791339 
948,1053542 1244196 1443706 1162250 410414 
1183,1096406 2117630 2214708 266412 2591944 
1286,2778525 1244196 1386412 657183 2791339 
1509,1686571 1860448 1865831 2417300 2086041 
1776,939717 713309 254458 760252 1701556 
1982,2778525 1244196 1386412 657183 2791339 
2742,2778525 1244196 1386412 657183 2791339 
3161,472040 278589 1879708 2348229 2623166 
3256,1244196 784737 1069281 266412 468120 
3375,680340 538069 823512 2481419 257496 
3547,2778525 1244196 1386412 657183 2791339 
3630,415358 1317156 374376 2750191 412368 
3806,73218 1432568 1750840 568191 1385441 
4607,2778525 1244196 1386412 657183 2791339 
5112,2778525 1244196 1386412 657183 2791339 
5627,2802026 2380306 1139128 2831562 1214070 
5686,926828 2160707 1519714 1356389 2493654 
5738,538069 680340 1244196 182233 823512 
5839,1443706 266412 1069281 2313894 75845 
6442,1816581 2337797 352966 801479 810121 
7182,1183228 1373703 784887 1884669 1120107 
7693,2778525 1244196 1386412 657183 2791339 
8316,2476988 2711809 83100 2264727 2603404 
9660,1386412 2734492 2227201 1631649 1177446 
9680,1310205 2757405 2272823 886778 2174115 
10044,1604641 1517153 1689319 388367 1526201 
10316,1386412 784737 2002097 657183 1092821 
10469,997263 2353541 2164559 1380906 2639425 
10470,624461 1090129 814701 1248151 1047760 
10870,2778525 1244196 1386412 657183 2791339 
10956,300053 535530 2666340 779190 1302734 
11027,391706 561642 2041033 2501356 2295947 
11380,434421 818486 1238924 2340839 121167 
11423,2778525 1244196 1386412 657183 2791339 
11805,782713 1001431 2447920 764484 1548072 
12046,790953 1519810 1435964 2628493 2087736 
12097,1386412 1092821 536047 657183 784737 
12233,2778525 1244196 1386412 657183 2791339 
12593,2415538 2830138 151591 1534045 2802026 
12626,1911499 1848140 2580699 1624848 962091 
12630,621322 662225 1717731 754417 784181 
12671,2275611 952102 635882 2803047 830631 
12689,1239350 1196133 2013158 2725896 2477844 
12750,657183 1386412 1162250 2002097 2791339 
12852,2609165 759567 184357 1876513 406835 
13715,2778525 1244196 1386412 657183 2791339 
14269,823512 1244196 1140869 1241609 2660436 
14624,468120 1443706 266412 2459081 1069281 
14792,468120 1244196 1679143 1162250 1069281 
14966,504015 908513 169068 319253 1657452 
15006,1529488 1018773 723777 338695 2550540 
15100,529619 1729871 2520574 1508001 148365 
15549,1386412 784737 2002097 1092821 657183 
15611,1695664 2471602 1240500 145633 2002097 
16228,2778525 1244196 1386412 657183 2791339 
16874,158526 2002097 2791339 536047 784737 
16971,1565544 298067 725769 1859722 871411 
18097,2682419 2289895 1643703 265522 652749 
18564,1576126 1679143 468120 1953846 2459081 
18796,1014523 750033 1838816 1723658 269398 
18994,1834588 2111288 1078888 62275 277691 
19544,1919107 1398109 1442073 146656 2436828 
19679,1098998 216052 2635278 2646207 1224446 
19704,2330317 2182484 2770160 106801 1889205 
20101,1550605 105999 454941 1076473 2639155 
20679,2489959 1162250 1386412 1443706 215982 
20815,2770160 1432568 1317915 568191 1424217 
20979,485102 1029640 1771444 1970244 824591 
21195,931519 1084672 1567110 1477642 2625273 
21324,234084 1167500 2645314 1677080 1260615 
21578,2778525 1244196 1386412 657183 2791339 
21627,1102456 43306 1723057 2778662 2547597 
21663,2617752 92686 213472 1474049 765284 
