user_id,recommended_items
285,0 78193 78192 138510 138511 
902,0 72606 72605 72603 72602 
948,0 128193 71241 71240 128194 
1183,0 84395 84393 84392 84391 
1286,0 78193 78192 138508 78188 
1509,0 85414 85412 85411 148810 
1776,0 73273 73272 73271 73269 
1982,0 70639 70638 127239 127240 
2742,0 142170 142171 80723 80722 
3161,0 78200 78199 78198 78197 
3256,0 78194 78193 78192 138510 
3375,0 83499 83497 83495 83493 
3547,0 72089 129453 129455 72086 
3630,0 76767 76766 76765 76764 
3806,0 78194 78193 78192 138510 
4607,0 74760 74759 133387 74757 
5112,0 136043 76558 136044 76556 
5627,0 89505 89504 89503 89502 
5686,0 78193 78192 138508 138510 
5738,0 73306 73305 73304 131225 
5839,0 78194 78193 78192 138510 
6442,0 78193 78192 138510 138511 
7182,0 78184 138499 78181 78180 
7693,0 89615 89613 89612 89611 
8316,0 72184 72183 72182 129608 
9660,0 78194 78193 78192 138508 
9680,0 78193 78192 138510 138511 
10044,0 78194 78193 78192 138508 
10316,0 78194 78193 78192 138508 
10469,0 152859 88280 88277 88276 
10470,0 81692 143593 143594 81689 
10870,0 78194 78193 78192 138511 
10956,0 78198 78197 138508 78195 
11027,0 111967 111968 111969 111970 
11380,0 78195 78194 78193 78192 
11423,0 78194 78193 78192 138510 
11805,0 78194 78193 78192 138510 
12046,0 78195 78194 78193 78192 
12097,0 80073 80072 141212 80070 
12233,0 130217 130218 72587 72586 
12593,0 78194 78193 78192 138510 
12626,0 78193 78192 138510 138511 
12630,0 111967 111968 111969 111970 
12671,0 87404 87399 87398 87397 
12689,0 111967 111968 111969 111970 
12750,0 143015 81274 81273 143016 
12852,0 138515 78205 78204 78201 
13715,0 78193 78192 138508 78188 
14269,0 78193 78192 138508 138510 
14624,0 111967 111968 111969 111970 
14792,0 77620 137634 137635 77616 
14966,0 78194 78193 78192 138508 
15006,0 81658 81657 143486 81655 
15100,0 78194 78193 78192 138508 
15549,0 78194 78193 78192 138510 
15611,0 78193 78192 138508 78188 
16228,0 78194 78193 78192 138508 
16874,0 78193 78192 138508 78188 
16971,0 78198 78197 138515 78195 
18097,0 78193 78192 138508 138510 
18564,0 78194 78193 78192 138510 
18796,0 77154 77153 77152 136904 
18994,0 78193 78192 138508 78188 
19544,0 111967 111968 111969 111970 
19679,0 134639 75575 75574 75571 
19704,0 78193 78192 138508 138510 
20101,0 78193 78192 138508 78188 
20679,0 78193 78192 138508 138510 
20815,0 78194 78193 78192 138508 
20979,0 86223 86222 86219 86218 
21195,0 78194 78193 78192 138508 
21324,0 78193 78192 138508 78188 
21578,0 130254 130255 72619 72618 
21627,0 111967 111968 111969 111970 
21663,0 78193 78192 138508 138510 
21813,0 74149 74148 74147 132514 
21835,0 78194 78193 78192 138510 
22107,0 78193 78192 138508 138510 
22206,0 75293 75292 75290 75289 
22591,0 78207 78205 78204 78201 
22728,0 78766 78765 78764 78763 
23229,0 78195 78194 78193 78192 
23361,0 78194 78193 78192 138508 
23459,0 111967 111968 111969 111970 
23667,0 78194 78193 78192 138508 
23718,0 70876 70875 127603 70873 
24419,0 111967 111968 111969 111970 
24465,0 83207 83206 83205 83204 
25906,0 70865 70864 70863 127557 
26038,0 111967 111968 111969 111970 
26658,0 111967 111968 111969 111970 
27187,0 72697 130360 130362 72694 
27501,0 78193 78192 138508 138510 
27638,0 78197 138513 78195 78194 
27707,0 78194 78193 78192 138510 
27727,0 78194 78193 78192 138510 
27845,0 78192 138508 78188 78187 
27931,0 78193 78192 138508 138510 
28232,0 127281 70664 70663 70662 
28739,0 74721 74720 74719 74718 
28801,0 79921 79920 140998 141000 
28972,0 75262 75260 75257 75256 
29072,0 78194 78193 78192 138508 
29146,0 78195 78194 78193 78192 
29212,0 78195 78194 78193 78192 
29340,0 88701 88699 88698 88697 
29449,0 85966 85965 85964 85963 
29519,0 83733 83732 83730 146449 
30094,0 78194 78193 78192 138510 
30368,0 78200 78199 78198 78197 
30774,0 74756 133392 74754 74753 
30910,0 78199 78198 78197 138515 
31318,0 78194 78193 78192 138510 
32111,0 111967 111968 111969 111970 
32371,0 78193 78192 138508 138510 
32434,0 88407 88406 88405 88404 
33119,0 78193 78192 138508 138510 
33317,0 134180 75275 75274 75273 
33492,0 78193 78192 138508 78188 
