user_id,recommended_items
1500820,2778525 1244196 1386412 657183 2791339 
1500975,1244196 1386412 2791339 2778525 657183 
1501942,1244196 1386412 2791339 2778525 657183 
1502499,1244196 1386412 2791339 2778525 657183 
1503042,2778525 1244196 1386412 657183 2791339 
1503197,1244196 1386412 2791339 2778525 657183 
1503525,1244196 1386412 2791339 2778525 657183 
1503549,2778525 1244196 1386412 657183 2791339 
1503860,1330328 1984327 2198329 734196 1920047 
1504661,1576126 2512859 2593483 266412 2031981 
1504710,2712481 2086041 1920047 1092821 2593483 
1504743,1244196 1386412 2791339 2778525 657183 
1504983,1244196 1386412 2791339 2778525 657183 
1505076,1244196 1386412 2791339 2778525 657183 
1505305,1244196 1386412 2791339 2778525 657183 
1505413,1244196 1386412 2791339 2778525 657183 
1505747,1244196 1386412 2791339 2778525 657183 
1506340,2778525 1244196 1386412 657183 2791339 
1506533,2348573 470426 266412 1165605 784737 
1507675,2791339 2778525 536047 278589 784737 
1507769,1244196 1386412 2791339 2778525 657183 
1508174,2635038 1830993 2106311 1119495 1443706 
1508209,1244196 1386412 2791339 2778525 657183 
1508340,2778525 1244196 1386412 657183 2791339 
1508566,1056667 1695664 1386412 1754395 657183 
1508833,2778525 657183 1053542 468120 1576126 
1508916,1244196 1386412 2791339 2778525 657183 
1509138,1244196 1386412 2791339 2778525 657183 
1509317,2002097 2466095 72465 1928254 2031981 
1509447,657183 536047 470426 2348573 2031981 
1509735,1244196 1386412 2791339 2778525 657183 
1510147,1244196 1386412 2791339 2778525 657183 
1510274,1244196 1386412 2791339 2778525 657183 
1510497,1244196 1386412 2791339 2778525 657183 
1510772,1119495 266412 823512 1576126 2037855 
1510865,2031981 2086041 1140869 499178 266412 
1511079,2778525 1244196 1386412 657183 2791339 
1511147,1244196 1386412 2791339 2778525 657183 
1511168,1244196 1386412 2791339 2778525 657183 
1511537,972388 1119495 1953846 1443706 470426 
1511638,1244196 1386412 2791339 2778525 657183 
1512091,2106311 931519 830073 1830993 2796479 
1512437,1244196 1386412 2791339 2778525 657183 
1513027,278589 1317915 2796479 2348573 1679143 
1513845,2512859 1162250 79531 437245 1069281 
1513896,2778525 1244196 1386412 657183 2791339 
1514140,2796479 931519 2635038 2037855 823512 
1514364,830073 1443706 2593483 2106311 784737 
1514767,2778525 1244196 1386412 657183 2791339 
1514778,1244196 1386412 2791339 2778525 657183 
1515008,1386412 2791339 2778525 657183 1920047 
1515352,734196 1119495 2106311 1679143 823512 
1515362,1244196 1386412 2791339 2778525 657183 
1515901,2002097 2313894 2156629 2106311 1679143 
1516042,1830993 1920047 1443706 1576126 266412 
1516053,1244196 1386412 2791339 2778525 657183 
1516075,2650926 1386412 2086041 1754395 2512859 
1516201,1244196 1386412 2791339 2778525 657183 
1516501,1244196 1386412 2791339 2778525 657183 
1516556,1244196 1386412 2791339 2778525 657183 
1516782,1244196 1386412 2791339 2778525 657183 
1517097,1244196 1386412 2791339 2778525 657183 
1517637,1119495 2106311 1830993 2037855 2796479 
1517992,1244196 1386412 2791339 2778525 657183 
1518044,1244196 1386412 2791339 2778525 657183 
1518761,830073 2037855 1317915 823512 1053542 
1518856,1244196 1386412 2791339 2778525 657183 
1519210,2037855 823512 2635038 931519 1119495 
1519233,1244196 1386412 2791339 2778525 657183 
1519365,1244196 1386412 2791339 2778525 657183 
1519373,1162250 79531 1953846 437245 734196 
1519738,2413494 1386412 1443706 470426 2031981 
1520001,1244196 1386412 2791339 2778525 657183 
1520320,2778525 1244196 1386412 657183 2791339 
1520667,1244196 1386412 2791339 2778525 657183 
1520931,823512 2086041 2635038 2037855 1119495 
1521112,2593483 2650926 1928254 2512859 1056667 
1522172,1244196 1386412 2791339 2778525 657183 
1522312,2778525 1244196 1386412 657183 2791339 
1523115,830073 1119495 2635038 823512 2037855 
1523662,1244196 1386412 2791339 2778525 657183 
1523833,1244196 1386412 2791339 2778525 657183 
1524141,1984327 2198329 1776330 1679143 2156629 
1524569,1244196 1386412 2791339 2778525 657183 
1524690,1244196 1386412 2791339 2778525 657183 
1524831,1244196 1386412 2791339 2778525 657183 
1524843,1244196 1386412 2791339 2778525 657183 
