user_id,recommended_items
285,2466095 2512859 2031981 2593483 1928254 
902,343377 1386412 1092821 1754395 1244196 
948,1244196 1386412 2791339 2778525 657183 
1183,1244196 1386412 2791339 2778525 657183 
1286,1244196 1386412 2791339 2778525 657183 
1509,1244196 1386412 2791339 2778525 657183 
1776,1244196 1386412 2791339 2778525 657183 
1982,2778525 1244196 1386412 657183 2791339 
2742,2778525 1244196 1386412 657183 2791339 
3161,1244196 1386412 2791339 2778525 657183 
3256,1244196 1386412 2791339 2778525 657183 
3375,1244196 1386412 2791339 2778525 657183 
3547,2778525 1244196 1386412 657183 2791339 
3630,1140869 1330328 499178 2778525 460717 
3806,1317915 2106311 830073 460717 1443706 
4607,2778525 1244196 1386412 657183 2791339 
5112,2778525 1244196 1386412 657183 2791339 
5627,1244196 1386412 2791339 2778525 657183 
5686,1244196 1386412 2791339 2778525 657183 
5738,1053542 2635038 1119495 823512 1830993 
5839,1244196 1386412 2791339 2778525 657183 
6442,437245 1386412 1069281 1695664 1140869 
7182,830073 1443706 470426 2348573 1679143 
7693,2778525 1244196 1386412 657183 2791339 
8316,972388 830073 2650926 1056667 1953846 
9660,1244196 1386412 2791339 2778525 657183 
9680,1244196 1386412 2791339 2778525 657183 
10044,1244196 1386412 2791339 2778525 657183 
10316,1244196 1386412 2791339 2778525 657183 
10469,1244196 1386412 2791339 2778525 657183 
10470,1244196 1386412 2791339 2778525 657183 
10870,2778525 1244196 1386412 657183 2791339 
10956,657183 2348573 1776330 278589 1056667 
11027,1776330 1092821 1069281 343377 1830993 
11380,1244196 1386412 2791339 2778525 657183 
11423,2778525 1244196 1386412 657183 2791339 
11805,1244196 1386412 2791339 2778525 657183 
12046,1244196 1386412 2791339 2778525 657183 
12097,1244196 1386412 2791339 2778525 657183 
12233,2778525 1244196 1386412 657183 2791339 
12593,1244196 1386412 2791339 2778525 657183 
12626,657183 2791339 2778525 1330328 1754395 
12630,1244196 1386412 2791339 2778525 657183 
12671,1244196 1386412 2791339 2778525 657183 
12689,1244196 1386412 2791339 2778525 657183 
12750,2313894 468120 830073 784737 1047625 
12852,2156629 1165605 2512859 1056667 2593483 
13715,2778525 1244196 1386412 657183 2791339 
14269,1244196 1386412 2791339 2778525 657183 
14624,2002097 784737 1920047 1576126 266412 
14792,1244196 1386412 2791339 2778525 657183 
14966,1244196 1386412 2791339 2778525 657183 
15006,1244196 1386412 2791339 2778525 657183 
15100,1244196 1386412 2791339 2778525 657183 
15549,1244196 1386412 2791339 2778525 657183 
15611,1244196 1386412 2791339 2778525 657183 
16228,2778525 1244196 1386412 657183 2791339 
16874,1244196 1386412 2791339 2778525 657183 
16971,1443706 1679143 830073 460717 734196 
18097,1244196 1386412 2791339 2778525 657183 
18564,1244196 1386412 2791339 2778525 657183 
18796,1244196 1386412 2791339 2778525 657183 
18994,830073 2635038 1386412 2778525 1330328 
19544,1244196 1386412 2791339 2778525 657183 
19679,1244196 1386412 2791339 2778525 657183 
19704,1244196 1386412 2791339 2778525 657183 
20101,1244196 1386412 2791339 2778525 657183 
20679,1244196 1386412 2791339 2778525 657183 
20815,2031981 2002097 931519 2635038 72465 
20979,2778525 1920047 2512859 536047 1330328 
21195,1244196 1386412 2791339 2778525 657183 
21324,470426 2593483 72465 784737 1928254 
21578,2778525 1244196 1386412 657183 2791339 
21627,1754395 1928254 1386412 2348573 2031981 
21663,1244196 1386412 2778525 657183 536047 
21813,1244196 1386412 2791339 2778525 657183 
21835,1244196 1386412 2791339 2778525 657183 
22107,1244196 1386412 2791339 2778525 657183 
22206,1576126 1830993 1928254 266412 2031981 
22591,1244196 1386412 2791339 2778525 657183 
22728,2778525 1244196 1386412 657183 2791339 
23229,1244196 1386412 2791339 2778525 657183 
23361,343377 1069281 2635038 1776330 1119495 
23459,1244196 1386412 2791339 2778525 657183 
23667,1984327 2198329 1386412 2031981 823512 
23718,1244196 1386412 2791339 2778525 657183 
24419,2778525 1244196 1386412 657183 2791339 
24465,1244196 1386412 2791339 2778525 657183 
25906,1244196 1386412 2791339 2778525 657183 
26038,2791339 437245 1443706 1679143 470426 
26658,1244196 1386412 2791339 2778525 657183 
27187,1244196 1386412 2791339 2778525 657183 
27501,468120 830073 1119495 460717 1830993 
27638,830073 1928254 1754395 1053542 1386412 
27707,2413494 536047 1119495 2635038 823512 
27727,1244196 1386412 2791339 2778525 657183 
27845,1244196 1386412 2791339 2778525 657183 
27931,1244196 1386412 2791339 2778525 657183 
28232,1069281 2791339 1162250 79531 437245 
28739,823512 1317915 468120 830073 931519 
28801,657183 1695664 2650926 1092821 2348573 
28972,2348573 278589 1386412 470426 2031981 
29072,1244196 1386412 2791339 2778525 657183 
29146,1244196 1386412 2791339 2778525 657183 
