user_id,recommended_items
285,2712821 1258303 1056667 1216431 1818827 
902,1244196 1443706 1162250 657183 2791339 
948,1053542 1244196 2778525 2031981 657183 
1183,1096406 2117630 1244196 1664426 1742063 
1286,2778525 1244196 1386412 657183 2791339 
1509,2086041 1907046 1835742 2477757 892333 
1776,1277140 1757758 939717 254458 1776330 
1982,2778525 1244196 1386412 657183 2791339 
2742,2778525 1244196 1386412 657183 2791339 
3161,472040 2277810 723096 1386412 460717 
3256,1244196 657183 784737 1069281 1443706 
3375,2778525 1244196 680340 2031981 538069 
3547,2778525 1244196 1386412 657183 2791339 
3630,415358 1244196 1317156 1443706 374376 
3806,2625432 2750191 1750840 1038792 592559 
4607,2778525 1244196 1386412 657183 2791339 
5112,2778525 1244196 1386412 657183 2791339 
5627,374376 314274 1937957 345660 2380306 
5686,2309898 640804 123121 926828 2075582 
5738,2778525 1244196 823512 2031981 680340 
5839,1443706 657183 2778525 266412 1386412 
6442,677711 240873 2636095 1282647 863266 
7182,1183228 2014172 2687682 784887 1373703 
7693,2778525 1244196 1386412 657183 2791339 
8316,2491016 2476988 1071853 334997 2711809 
9660,1386412 2734492 356159 1177446 1447302 
9680,1310205 1359029 2757405 609071 2184058 
10044,388367 2071024 711587 1689319 2835086 
10316,1386412 784737 2002097 1092821 657183 
10469,1548362 2570454 2317069 2436303 997263 
10470,315341 932913 1720816 353289 125527 
10870,2778525 1244196 1386412 657183 2791339 
10956,300053 2396877 535530 1302734 184517 
11027,688457 1898849 1650533 2550498 466173 
11380,606905 2590469 1443706 434421 2178500 
11423,2778525 1244196 1386412 657183 2791339 
11805,1676825 782713 2447920 1548072 1001431 
12046,2036333 790953 114386 728834 1435964 
12097,1386412 1092821 536047 657183 784737 
12233,2778525 1244196 1386412 657183 2791339 
12593,1001431 1216431 2415538 1506186 1619669 
12626,386410 1848140 1911499 962091 2372252 
12630,621322 662225 1634003 1717731 754417 
12671,312742 2275611 952102 365280 1428413 
12689,2013158 1196133 1239350 2261549 1076185 
12750,657183 1386412 1162250 2791339 2002097 
12852,759567 1123270 2609165 2394849 1445649 
13715,2778525 1244196 1386412 657183 2791339 
14269,1244196 1053542 823512 278589 1140869 
14624,266412 468120 657183 2420135 1443706 
14792,1244196 468120 2778525 1162250 1679143 
14966,420362 2621022 1799841 2295468 504015 
15006,1989397 636023 2028004 1018773 1115516 
15100,1029608 2295019 1607836 1192184 5844 
15549,1386412 1244196 784737 2002097 1053542 
15611,1386412 1317915 768905 1695664 2002097 
16228,2778525 1244196 1386412 657183 2791339 
16874,1244196 1928254 2002097 79531 158526 
16971,1859722 725769 1565544 582631 1354650 
18097,1353323 2584268 1777634 2077275 866589 
18564,1576126 1244196 468120 1953846 1679143 
18796,2730930 1014523 750033 1838816 1723658 
18994,595572 1508077 219969 132221 2821759 
19544,914870 2279385 2419733 1919107 871252 
