user_id,recommended_items
285,2712821 1258303 1056667 2405262 499178 
902,1244196 1443706 1162250 657183 2791339 
948,1053542 1244196 2778525 657183 2031981 
1183,1096406 2117630 1244196 579292 266412 
1286,1262099 2571800 2337466 1941342 2513050 
1509,2086041 1835742 1244196 2182715 1376058 
1776,1776330 1386412 1376058 1119495 1003954 
1982,1262099 2571800 2337466 1941342 2513050 
2742,1262099 2571800 2337466 1941342 2513050 
3161,472040 2277810 723096 1386412 460717 
3256,1244196 657183 784737 1069281 1443706 
3375,2778525 1244196 2031981 823512 657183 
3547,1262099 2571800 2337466 1941342 2513050 
3630,415358 1244196 1443706 374376 2750191 
3806,2750191 592559 1432568 568191 973448 
4607,1262099 2571800 2337466 1941342 2513050 
5112,1262099 2571800 2337466 1941342 2513050 
5627,374376 2380306 2802026 2593483 415358 
5686,2075582 1549837 297118 1239082 1520097 
5738,2778525 1244196 823512 2031981 657183 
5839,1443706 657183 266412 2778525 1386412 
6442,2636095 801479 1717731 2460014 1876513 
7182,2687682 1218572 1477734 55199 1297289 
7693,1262099 2571800 2337466 1941342 2513050 
8316,499178 2127017 186124 1258303 1867675 
9660,1386412 2734492 1447302 2380306 2213987 
9680,2040236 2636095 1717731 343377 383573 
10044,1472716 2277810 1953846 1777889 671237 
10316,1386412 784737 2002097 657183 1092821 
10469,2640781 2353541 2825431 2348573 920520 
10470,1755502 657183 162125 2083881 1056667 
10870,1262099 2571800 2337466 1941342 2513050 
10956,300053 535530 184517 779190 1096406 
11027,2791339 2501356 278589 794365 1325341 
11380,606905 2590469 1443706 1386412 1244196 
11423,1262099 2571800 2337466 1941342 2513050 
11805,1001431 1093296 1857507 1218572 1849280 
12046,2593483 278589 2687682 2280960 1140869 
12097,1386412 1092821 536047 657183 784737 
12233,1262099 2571800 2337466 1941342 2513050 
12593,1001431 2205815 78655 2277810 2802026 
12626,2521535 1322673 1796526 2791339 1092821 
12630,1717731 447985 794365 2636095 2791339 
12671,952102 1538515 2588490 460717 2506235 
12689,749431 1124313 1636910 1119926 660656 
12750,657183 1386412 1162250 2791339 2002097 
12852,1876513 1496888 1604145 1566231 536047 
13715,1262099 2571800 2337466 1941342 2513050 
14269,1244196 1053542 823512 278589 1140869 
14624,266412 657183 468120 1443706 2420135 
14792,1244196 468120 2778525 1162250 1679143 
14966,1262099 2571800 2337466 1941342 2513050 
15006,2778662 1499394 1794685 2389610 723777 
15100,2295019 2232458 1277973 876529 1366236 
15549,1386412 1244196 784737 2002097 1053542 
15611,1386412 1317915 768905 1695664 2002097 
16228,1262099 2571800 2337466 1941342 2513050 
16874,1244196 1928254 2002097 79531 536047 
16971,2159515 2093466 1576126 194241 2521535 
18097,2289895 78338 265522 1830993 1630793 
18564,1576126 1244196 468120 1953846 1679143 
18796,640407 1624781 2778525 1087072 1477734 
18994,265522 1834588 2693538 2640781 536047 
19544,205039 77400 984114 437245 2648928 
19679,153323 668146 2047542 445231 1775397 
19704,788342 2770160 499178 186124 1277973 
20101,1549837 1496888 536047 2156629 1092821 
20679,1244196 2489959 343377 2466095 1162250 
20815,2770160 1432568 1317915 2348573 457843 
20979,801479 2791339 278589 1730803 213792 
21195,1244196 1443706 2462072 1056667 2791339 
21324,1079601 2302683 335428 507069 16356 
21578,1262099 2571800 2337466 1941342 2513050 
21627,43306 2778662 2547597 2813646 1755502 
21663,1886939 385493 410414 2423978 1244787 
21813,1928254 2024094 794156 1140869 1886939 
21835,468120 2420135 657183 266412 1443706 
22107,2251758 2348573 457843 973448 1754448 
22206,477856 2389610 335428 288342 475121 
22591,1834588 2640781 650449 1239082 1016436 
22728,1262099 2571800 2337466 1941342 2513050 
23229,1262099 2571800 2337466 1941342 2513050 
23361,1672383 2512859 184517 92053 146576 
23459,278589 1262099 342352 1941342 2513050 
23667,1430243 2075582 470426 1754448 536047 
23718,1244196 266412 1443706 1776330 2591944 
24419,1262099 2571800 2337466 1941342 2513050 
24465,657183 536047 2002097 1386412 343377 
25906,1053542 1041709 1325341 2778525 1092821 
26038,18872 2825431 657183 1460626 1742604 
