user_id,recommended_items
285,2712821 1258303 1056667 2405262 499178 
902,1244196 1443706 1162250 657183 2791339 
948,1053542 1244196 2778525 657183 2031981 
1183,1096406 2117630 1244196 579292 266412 
1286,1262099 2571800 2337466 1941342 2513050 
1509,2086041 1907046 1835742 1244196 1376058 
1776,1776330 1386412 1376058 1119495 1053542 
1982,1262099 2571800 2337466 1941342 2513050 
2742,1262099 2571800 2337466 1941342 2513050 
3161,472040 2277810 723096 1386412 460717 
3256,1244196 657183 784737 1069281 1443706 
3375,2778525 1244196 2031981 823512 657183 
3547,1262099 2571800 2337466 1941342 2513050 
3630,415358 1244196 1443706 374376 2750191 
3806,2750191 592559 1432568 568191 973448 
4607,1262099 2571800 2337466 1941342 2513050 
5112,1262099 2571800 2337466 1941342 2513050 
5627,374376 2380306 2802026 2593483 415358 
5686,2075582 1549837 297118 1239082 1520097 
5738,2778525 1244196 823512 2031981 657183 
5839,1443706 657183 2778525 266412 1386412 
6442,2636095 1422652 801479 1774071 810121 
7182,2687682 1218572 1477734 1297289 619132 
7693,1262099 2571800 2337466 1941342 2513050 
8316,499178 2127017 186124 1258303 1867675 
9660,1386412 2734492 1644077 2380306 2213987 
9680,2040236 2636095 1717731 343377 383573 
10044,1472716 2277810 1953846 2325510 2781618 
10316,1386412 784737 2002097 1092821 657183 
10469,2640781 2353541 2825431 2348573 920520 
10470,1755502 657183 162125 1227036 1056667 
10870,1262099 2571800 2337466 1941342 2513050 
10956,300053 535530 184517 1096406 779190 
11027,1650533 278589 794365 2791339 2501356 
11380,606905 2590469 1443706 1386412 1244196 
11423,1262099 2571800 2337466 1941342 2513050 
11805,1001431 1093296 1857507 1849280 1218572 
12046,278589 2593483 2687682 1140869 410414 
12097,1386412 1092821 536047 657183 784737 
12233,1262099 2571800 2337466 1941342 2513050 
12593,1001431 2205815 78655 2277810 2802026 
12626,2521535 1796526 2791339 1092821 2264926 
12630,1717731 447985 794365 2791339 2522554 
12671,952102 1538515 460717 2506235 2409634 
12689,749431 1636910 1119926 660656 1619659 
12750,657183 1386412 1162250 2791339 2002097 
12852,1876513 1496888 1604145 536047 2791339 
13715,1262099 2571800 2337466 1941342 2513050 
14269,1244196 1053542 823512 278589 1140869 
14624,657183 266412 468120 1443706 2420135 
14792,1244196 468120 2778525 1162250 1679143 
14966,1262099 2571800 2337466 1941342 2513050 
15006,2778662 1499394 1794685 2389610 723777 
15100,2295019 2232458 1277973 92053 671237 
15549,1386412 1244196 784737 2002097 1053542 
15611,1386412 1317915 768905 1695664 2002097 
16228,1262099 2571800 2337466 1941342 2513050 
16874,1244196 1928254 2002097 79531 158526 
16971,2159515 1328711 1576126 2093466 194241 
18097,1671183 2820720 2289895 78338 265522 
18564,1576126 1244196 468120 1953846 1679143 
18796,640407 1624781 2778525 1087072 1477734 
18994,2778201 265522 1834588 2640781 1056667 
19544,205039 77400 437245 984114 1928254 
19679,153323 668146 2047542 445231 1775397 
19704,788342 2770160 186124 499178 172858 
20101,1550605 105999 1549837 1496888 536047 
20679,1244196 2489959 343377 2466095 1774071 
20815,2770160 1432568 2348573 1317915 457843 
20979,934577 2791339 801479 278589 1730803 
21195,1244196 1443706 2462072 1056667 2791339 
21324,2820720 1079601 2302683 335428 507069 
21578,1262099 2571800 2337466 1941342 2513050 
21627,1102456 43306 2778662 2547597 2813646 
21663,1886939 385493 410414 2423978 1244787 
21813,1928254 2024094 794156 1140869 1886939 
21835,468120 2420135 657183 266412 1443706 
22107,2251758 2348573 457843 2446758 1907046 
22206,477856 2389610 335428 288342 475121 
22591,1834588 2640781 1328711 2364286 650449 
22728,1262099 2571800 2337466 1941342 2513050 
23229,1262099 2571800 2337466 1941342 2513050 
23361,1672383 2512859 184517 92053 146576 
23459,278589 158526 2337466 2513050 1287319 
23667,470426 536047 2075582 734196 1754448 
23718,1244196 266412 1443706 2591944 1776330 
24419,1262099 2571800 2337466 1941342 2513050 
24465,657183 536047 2002097 1386412 343377 
25906,1774071 1053542 1041709 1325341 2778525 
26038,2546303 18872 2825431 657183 1460626 
