user_id,recommended_items
285,555292 1326243 1826078 463584 2579520 
902,766470 2267651 240295 1377710 24572 
948,1927553 1677560 2302659 666377 2550063 
1183,1351681 98165 1216515 635997 2647741 
1286,1216239 364109 688647 492265 22107 
1509,537567 2423093 1508399 1381803 2659877 
1776,606609 2630814 454329 1018372 1021465 
1982,2545244 2624498 1928045 1874355 1087808 
2742,2038560 68758 777253 1563441 1448932 
3161,187134 690145 1468376 1136949 2075944 
3256,786464 887291 2488882 2739741 1988635 
3375,846531 951478 465640 671128 1359801 
3547,966475 1712057 2480696 1524574 537437 
3630,1326243 555292 1865557 1828120 677534 
3806,1623119 933105 2300684 1649695 801656 
4607,663798 282824 2772170 1419487 1837669 
5112,508885 1870782 1576176 2148032 2054397 
5627,2526411 1010103 1906561 1735336 2148032 
5686,2453665 11081 452093 1404990 2008675 
5738,1312681 213728 810933 812336 1251349 
5839,2035858 2754127 1340613 1275551 1071104 
6442,467854 2153117 2190412 2397316 590280 
7182,113142 551013 2709907 549171 2470715 
7693,416818 1745502 2454353 1848889 356237 
8316,2117072 1124868 1776440 632971 2034090 
9660,450975 1343509 973768 768217 1858604 
9680,2132965 65979 71837 2718840 1907481 
10044,321142 1875699 1447067 1858351 187134 
10316,2728977 508885 2473768 1271425 222171 
10469,1984683 109335 49764 8086 922072 
10470,2033333 2669046 2305111 1010212 1659461 
10870,2341841 2278657 2300684 1158105 619791 
10956,2117072 2447159 2361302 564988 835070 
11027,1926497 380434 2736702 2299750 1729666 
11380,1441580 2109746 486326 225295 1818133 
11423,1022559 55578 277900 477049 2833949 
11805,2153117 2571321 1655314 2631430 1644872 
12046,1884002 2521017 1929824 1108083 1204114 
12097,1126245 1804762 1993977 678423 1420628 
12233,1388614 2391243 1011818 2506584 1100199 
12593,1149201 1126245 514112 2246316 1688359 
12626,2710271 2612853 2716123 1888709 2588654 
12630,2489478 1115390 520087 2600179 2588792 
12671,2799724 91611 139368 646353 1779406 
12689,2565999 469057 148739 114153 9389 
12750,1158280 963143 770342 2687126 2039426 
12852,1256859 240295 2446950 1025051 2593425 
13715,2625169 1829361 2377597 788462 1915020 
14269,417271 1601855 718861 2628685 1261325 
14624,1088079 220676 1023359 2169752 1858604 
14792,1267080 1464633 917304 2033748 2090118 
14966,1013313 1312681 2142899 1017347 1221557 
15006,1685005 1498811 1430580 1634962 2652601 
15100,2473749 553371 1270896 1515744 1782218 
15549,1506339 690145 861767 1850327 316535 
15611,589528 830603 169246 1245397 2396022 
16228,272130 1059176 1376631 710180 1438994 
16874,2653999 89586 901156 874472 2312966 
16971,1186235 2635175 2122393 2334991 2169495 
18097,1853255 1643256 2505587 2459113 2192350 
18564,1529089 989137 2219731 2677461 1984683 
18796,1364714 2643510 985444 642820 1456542 
18994,157021 549037 2776000 1604535 719197 
19544,2044645 214434 590874 2735664 1510056 
19679,1520384 2594146 770803 1625209 50583 
19704,1322448 1951270 1973561 900765 1904235 
20101,1623119 2023106 1511676 2454842 1874355 
20679,1248785 1011312 2600179 2716123 2479755 
20815,1829361 2408413 1229936 587069 924689 
20979,944834 1256859 1898181 260455 222341 
21195,1143486 1679202 2528116 2153972 2237946 
21324,641181 956384 2650127 2049369 452064 
21578,1138176 2691939 2421873 2735664 1083207 
21627,932654 2079210 1105444 549403 530799 
21663,301638 2110130 1144776 521414 2162061 
21813,2635175 189544 1426965 786464 1028328 
21835,1089257 1822004 2454919 718861 857352 
22107,2854 1156024 783028 1467603 755369 
22206,747145 1399472 1303892 396632 363932 
22591,2722934 2117072 148031 2720356 50022 
22728,921853 2400357 62608 1413092 591501 
23229,2056638 1577398 2508352 1785658 2092738 
23361,2740821 691457 1315488 901156 197669 
23459,662896 846531 1376896 1630247 591503 
23667,2736007 1197503 932654 407373 703643 
23718,1679202 1517745 179232 1221441 129760 
24419,1949030 441572 2728573 199405 2813325 
24465,1796876 1507110 1256859 2571911 2424064 
25906,2237072 245360 39228 2113422 2396022 
26038,1239154 813456 1858604 2075944 2404674 
26658,2378373 232198 918511 1949030 2653999 
27187,2768970 1192184 2769636 2281423 2072499 
27501,2514346 651447 401580 416818 1405807 
27638,2715391 1420104 783028 2265277 2391243 
27707,76756 2669815 508885 1613957 2478445 
27727,670873 918511 1198372 912730 394034 
27845,2346062 2261140 2358313 2520282 1381153 
27931,773512 2039563 888958 2659877 2472780 
28232,2659877 375210 113142 686764 1300009 
28739,1376896 1399472 1499193 1638435 2007476 
28801,2775363 1529089 680562 469059 1654555 
28972,830603 1725448 651660 2609190 2486236 
29072,2041177 2712200 1418350 220233 2305111 
29146,2467623 1660214 1564982 1397300 1140285 
29212,458048 2499383 1303892 83366 334054 
29340,830603 2380538 161939 1468376 1803293 
29449,1685734 1097139 2540461 1501254 1705715 
29519,2108046 247460 2787115 1110855 2799422 
30094,169246 699110 465640 1049070 103127 
30368,1843884 2821726 163117 2188697 2662311 
30774,2226621 519768 1011818 1345131 2539358 
30910,114830 1321804 770803 642820 921425 
31318,2637551 2400357 2369461 2505587 2091201 
32111,947476 977026 1550505 2399644 2606365 
32371,2270985 1380857 420612 2196249 2362028 
32434,1303339 2531873 252455 2807225 2095544 
33119,510709 1351681 1214256 2149629 2662311 
33317,2300684 2736763 1479789 2091201 452385 
33492,1734380 2434400 2088015 1027970 1293052 
33552,377955 2643128 2466849 1920718 37261 
33704,2715391 2287776 2179458 2128986 1576444 
35125,2782888 2271391 359846 1396494 1509082 
35517,2823351 232198 1215318 1538479 1309960 
35752,318735 2543168 2109746 2769516 2835284 
36049,289273 2295468 632632 2192141 913983 
36125,57235 884304 2521017 1504423 2364932 
36396,2567884 22107 418178 522003 1976759 
36940,2436218 2117072 792334 1309362 1025982 
37187,985857 2802299 1548362 2185243 1164577 
37351,2470969 514112 2446950 786070 1849690 
38059,172929 2716700 663815 2568675 2796280 
38189,1627267 2100336 2020917 1779787 764514 
38365,1858604 2833409 2640107 1333955 2551901 
38481,2306352 958275 2554050 1529089 529809 
38730,2485928 2153117 759718 2174258 2305976 
38944,779515 1916779 62608 2611777 435910 
39189,296799 740782 380434 2094806 889112 
39773,58093 1071793 606609 2305033 1984127 
39778,2420833 1320372 825314 317748 396632 
40141,553371 408456 398870 1988592 2434400 
40180,1754795 199405 522555 1827114 1596958 
40246,224081 20431 62608 30410 1943642 
40468,1420703 560345 2624498 1260030 1870748 
41309,2586324 2291905 1867512 187134 537567 
41345,59963 59567 973768 1016821 730432 
41383,2612853 2630458 2237072 2200146 950053 
41403,1143486 1124068 375469 1502259 1665004 
41629,513358 518544 2521017 1591258 579327 
41649,1308633 1504456 1126245 81927 719197 
42051,1286086 1499385 31274 2766962 2710271 
42321,41205 2577263 2064975 1447785 2389094 
42617,1034678 1494502 1827603 736966 628726 
42912,160690 1089257 330951 2309815 1183876 
43088,2608534 513358 41205 319762 1898953 
43399,868340 176414 1922872 947476 1738911 
43444,1428762 2175707 2657702 402378 947432 
44628,666012 2405935 1126245 1088079 1652975 
46074,1604535 1516162 2373175 1891481 612226 
46106,964496 2539184 1926497 554101 2330839 
46377,680027 1784040 1898953 609831 1539729 
46391,1221557 1331585 1072422 871257 588109 
46874,2223467 2291592 892998 2740821 1644315 
47353,918511 1796510 2531188 2278562 1665004 
47387,2428245 2309548 734953 1458931 1564130 
47475,1336052 952691 2434525 283317 2247840 
47662,1829361 142182 157021 748482 1112235 
48463,948804 1529089 1115049 65416 1787184 
48478,1138176 2479653 971264 944834 1529170 
48675,1349583 27505 1322583 431590 909066 
48789,2033333 508885 1804539 2042493 2728977 
49239,2588792 2248576 860567 663485 148739 
49334,587069 131076 2050271 1261780 2788653 
49418,2203450 2769117 1874527 861767 2593043 
49794,215944 802342 2766992 1236602 1291991 
50754,1509301 2560932 507008 2782888 879911 
50874,1349583 1796876 2646566 2145337 1047899 
51289,2392554 282100 1512364 2285499 1466027 
51380,465997 1956009 2032666 1748263 466277 
51416,1020267 786070 1158120 1543658 2289348 
51445,1946368 340635 1876503 1873071 213728 
51851,517348 1608207 2565999 1670760 65979 
52067,2289348 1937957 2751327 2761680 1249403 
52207,147057 493173 213728 2315525 2279215 
52730,2094578 1204114 718861 2159234 33037 
52831,1550345 2691939 1168559 2153117 1693312 
53121,2709907 2128514 2539184 1478712 387220 
53574,913976 1730259 2051488 86201 1117184 
53638,1548362 2225055 206733 1062491 1291354 
53677,2768970 794129 2632544 2592154 218501 
53760,2772625 1416189 1777101 582986 830939 
53874,336834 1512001 423454 2795218 546140 
54382,2761680 1151540 2420833 1385020 1928045 
55261,336827 935804 197394 4499 569627 
55358,2522632 636218 1787184 2105129 2391243 
55450,1794418 1562558 2403351 1860703 2617451 
55534,213728 2244812 985444 1381153 259707 
56110,517949 520087 2232349 1981951 1115390 
56216,2592131 786070 1876503 1235367 2768661 
56227,503520 1274271 1860008 2300684 1393098 
56317,356589 2151825 1529089 1153728 1652637 
