user_id,recommended_items
285,2778525 1244196 1386412 657183 2791339 
902,2778525 1244196 1386412 657183 2791339 
948,2778525 1244196 1386412 657183 2791339 
1183,2778525 1244196 1386412 657183 2791339 
1286,2778525 1244196 1386412 657183 2791339 
1509,2778525 1244196 1386412 657183 2791339 
1776,2778525 1244196 1386412 657183 2791339 
1982,2778525 1244196 1386412 657183 2791339 
2742,2778525 1244196 1386412 657183 2791339 
3161,2778525 1244196 1386412 657183 2791339 
3256,2778525 1244196 1386412 657183 2791339 
3375,2778525 1244196 1386412 657183 2791339 
3547,2778525 1244196 1386412 657183 2791339 
3630,2778525 1244196 1386412 657183 2791339 
3806,2778525 1244196 1386412 657183 2791339 
4607,2778525 1244196 1386412 657183 2791339 
5112,2778525 1244196 1386412 657183 2791339 
5627,2778525 1244196 1386412 657183 2791339 
5686,2778525 1244196 1386412 657183 2791339 
5738,2778525 1244196 1386412 657183 2791339 
5839,2778525 1386412 657183 2791339 536047 
6442,2778525 1244196 1386412 657183 2791339 
7182,2778525 1244196 1386412 657183 2791339 
7693,2778525 1244196 1386412 657183 2791339 
8316,2778525 1244196 1386412 657183 2791339 
9660,2778525 1244196 1386412 657183 2791339 
9680,2778525 1244196 1386412 657183 2791339 
10044,2778525 1244196 1386412 657183 2791339 
10316,2778525 1244196 1386412 657183 2791339 
10469,2778525 1244196 1386412 657183 2791339 
10470,2778525 1244196 1386412 657183 2791339 
10870,2778525 1244196 1386412 657183 2791339 
10956,2778525 1244196 1386412 657183 2791339 
11027,2778525 1244196 1386412 657183 2791339 
11380,2778525 1244196 1386412 657183 2791339 
11423,2778525 1244196 1386412 657183 2791339 
11805,2778525 1244196 1386412 657183 2791339 
12046,2778525 1244196 1386412 657183 2791339 
12097,2778525 1244196 1386412 657183 536047 
12233,2778525 1244196 1386412 657183 2791339 
12593,2778525 1244196 1386412 657183 2791339 
12626,2778525 1244196 1386412 657183 2791339 
12630,2778525 1244196 1386412 657183 2791339 
12671,2778525 1244196 1386412 657183 2791339 
12689,2778525 1244196 1386412 657183 2791339 
12750,2778525 1244196 1386412 657183 2791339 
12852,2778525 1244196 1386412 657183 2791339 
13715,2778525 1244196 1386412 657183 2791339 
14269,1244196 1386412 657183 2791339 536047 
14624,2778525 1386412 657183 2791339 536047 
14792,2778525 1244196 1386412 657183 2791339 
14966,2778525 1244196 1386412 657183 2791339 
15006,2778525 1244196 1386412 657183 2791339 
15100,2778525 1244196 1386412 657183 2791339 
15549,1244196 1386412 657183 2791339 2002097 
15611,2778525 1244196 1386412 657183 2791339 
16228,2778525 1244196 1386412 657183 2791339 
16874,2778525 1244196 1386412 657183 2791339 
16971,2778525 1244196 1386412 657183 2791339 
18097,2778525 1244196 1386412 657183 2791339 
18564,2778525 1244196 1386412 657183 2791339 
18796,2778525 1244196 1386412 657183 2791339 
18994,2778525 1244196 1386412 657183 2791339 
19544,2778525 1244196 1386412 657183 2791339 
19679,2778525 1244196 1386412 657183 2791339 
19704,2778525 1244196 1386412 657183 2791339 
20101,2778525 1244196 1386412 657183 2791339 
