user_id,recommended_items
285,2632032 1654807 13402 764484 651374 
902,270333 2144834 593602 2459186 2521696 
948,2624261 1196827 665736 799209 1033029 
1183,128834 573265 979428 1225472 2282652 
1286,590898 1529628 2077584 341860 475443 
1509,1070735 1260067 36349 409207 1646170 
1776,982000 1672969 1909035 2398424 1350171 
1982,799575 1135800 1819740 1504207 2340784 
2742,2810514 2458807 738685 1274053 2477432 
3161,1998024 2136164 458876 2481280 2047319 
3256,2015795 845794 1849832 393315 738685 
3375,62782 782943 2431341 906386 281370 
3547,2617519 1618041 599283 1098396 2762636 
3630,1792357 1404494 2551889 2029535 839747 
3806,1516543 1398258 1938519 2438659 1690664 
4607,1539887 814080 2113459 64278 2706363 
5112,2021011 2372062 1791659 835304 2026639 
5627,1314454 1314823 2056740 1248561 1737347 
5686,822498 153729 784932 1843353 837792 
5738,2610801 1172040 1391686 2441475 37438 
5839,540085 1449962 1485223 1659908 2382512 
6442,1333071 303307 2178407 1834837 2073760 
7182,1045490 861332 317248 319146 371778 
7693,1218073 332305 1883728 2048438 1145139 
8316,1701454 1905202 560048 2277810 621104 
9660,564555 1478056 2005500 2421545 2078789 
9680,563192 1405170 1311661 1021993 2482903 
10044,2314607 337902 330798 157871 362349 
10316,1292419 1154938 998540 424925 1985154 
10469,2564130 822174 730450 1034678 335754 
10470,2486362 852898 44516 717473 372387 
10870,1552138 1511192 1982755 2614802 710203 
10956,1059495 864621 2485282 1081321 2035458 
11027,231035 387052 133661 1172711 2121555 
11380,705214 985935 541783 1038472 306428 
11423,1406600 2807209 426600 579919 560297 
11805,1219386 2202525 695332 378597 2581782 
12046,2025470 2787115 1567291 2628149 374973 
12097,1659908 1832025 2554050 931680 1684578 
12233,1724420 398487 2485032 2338717 1897600 
12593,1057206 1441757 1642015 1067698 246008 
12626,515685 1973348 1777769 2403072 2231186 
12630,2224151 1085798 536350 2194849 1039873 
12671,2276970 1131974 2107358 567413 2009393 
12689,289859 1651090 2470327 608404 2044449 
12750,657017 1105444 2355844 1184612 876529 
12852,530133 1119457 1534060 1077207 1673722 
13715,260125 28257 2769471 61714 74898 
14269,1627958 1736615 1053325 2130246 1718180 
14624,1862312 2036350 579661 2830114 177756 
14792,1008639 18572 684296 2682328 234346 
14966,1550737 1212096 1385838 1438052 568872 
