user_id,recommended_items
285,2712821 1258303 1056667 1818827 591811 
902,1244196 1443706 1162250 657183 2791339 
948,1053542 1244196 2778525 657183 2031981 
1183,1096406 2117630 1244196 1664426 2740821 
1286,2778525 1244196 1386412 657183 2791339 
1509,2086041 1907046 1835742 2477757 892333 
1776,713309 1776330 859993 1386412 1118121 
1982,2778525 1244196 1386412 657183 2791339 
2742,2778525 1244196 1386412 657183 2791339 
3161,472040 2277810 723096 1386412 460717 
3256,1244196 657183 784737 1069281 1443706 
3375,2778525 1244196 680340 2031981 538069 
3547,2778525 1244196 1386412 657183 2791339 
3630,415358 1244196 1317156 1443706 374376 
3806,2750191 1750840 1038792 1552526 592559 
4607,2778525 1244196 1386412 657183 2791339 
5112,2778525 1244196 1386412 657183 2791339 
5627,374376 314274 1937957 2380306 2802026 
5686,2309898 640804 123121 926828 2075582 
5738,2778525 1244196 823512 2031981 680340 
5839,1443706 657183 266412 2778525 1386412 
6442,677711 240873 2636095 1083742 1124915 
7182,1183228 2014172 2687682 1373703 89562 
7693,2778525 1244196 1386412 657183 2791339 
8316,2491016 2476988 2711809 2264727 562493 
9660,1386412 2734492 356159 1177446 1447302 
9680,1310205 1359029 609071 2184058 1287467 
10044,2835086 81416 2183446 1370919 1655579 
10316,1386412 784737 2002097 657183 1092821 
10469,1548362 2570454 2436303 997263 2171316 
10470,315341 932913 1720816 2676477 1755502 
10870,2778525 1244196 1386412 657183 2791339 
10956,300053 535530 2396877 1302734 184517 
11027,688457 1898849 1650533 2550498 2368558 
11380,606905 434421 2590469 1443706 2178500 
11423,2778525 1244196 1386412 657183 2791339 
11805,1676825 2447920 782713 1548072 1001431 
12046,1982112 2628493 2087736 2593483 278589 
12097,1386412 1092821 536047 657183 784737 
12233,2778525 1244196 1386412 657183 2791339 
12593,1001431 2415538 1216431 1506186 2830138 
12626,386410 1848140 1911499 962091 2372252 
12630,621322 662225 1634003 1717731 784181 
12671,2275611 952102 635882 1215287 1536389 
12689,1196133 1098944 261110 549290 1946484 
12750,657183 1386412 1162250 2791339 2002097 
12852,759567 1123270 1445649 1876513 144547 
13715,2778525 1244196 1386412 657183 2791339 
14269,1244196 1053542 823512 278589 1140869 
14624,266412 657183 468120 1443706 2420135 
14792,1244196 468120 2778525 1162250 1679143 
14966,169068 1258181 2112431 1657452 310819 
15006,1989397 636023 2028004 1018773 605206 
15100,2295019 5844 697882 268652 1057206 
15549,1386412 1244196 784737 2002097 1053542 
15611,1386412 1317915 768905 1695664 2002097 
16228,2778525 1244196 1386412 657183 2791339 
16874,1244196 1928254 158526 2002097 79531 
16971,725769 102981 1151791 2548962 298067 
18097,1353323 1777634 2077275 1671183 1452909 
18564,1576126 1244196 468120 1953846 1679143 
18796,2730930 1014523 750033 1838816 1723658 
18994,1508077 641134 2260494 132221 2778201 
19544,2279385 146656 1398109 2436828 1693774 
19679,1098998 534894 1972717 153323 1159573 
19704,2330317 788342 2182484 2770160 2129958 
20101,1550605 105999 763834 1549837 2092767 
20679,1244196 2489959 343377 2466095 1125573 
20815,2770160 1432568 1317915 2348573 457843 
20979,1029640 2049896 1221097 824591 1295316 
21195,1244196 1520277 77356 1443706 164623 
21324,234084 1167500 1714028 2645314 647105 
21578,2778525 1244196 1386412 657183 2791339 
21627,1102456 43306 2778662 1363485 205032 
21663,2617752 213472 2167880 57460 1886939 
21813,1928254 2024094 794156 1140869 1886939 
21835,468120 2420135 657183 266412 1443706 
22107,2251758 2348573 457843 2446758 973448 
22206,566036 650000 147277 1847567 2131853 
22591,1834588 1078888 2717625 2640781 898147 
22728,2778525 1244196 1386412 657183 2791339 
23229,1908731 1262099 1214070 342352 2337466 
23361,2092767 1672383 516103 508531 2512859 
23459,278589 2548962 1151791 445302 102981 
23667,410738 2741322 1274654 701000 369259 
23718,1244196 266412 1149693 1443706 1776330 
24419,2778525 1244196 1386412 657183 2791339 
24465,657183 536047 2002097 1386412 343377 
25906,1774071 1053542 776006 1041709 1325341 
26038,2546303 18872 58071 2257516 2825431 
26658,278589 460717 47583 79531 1595372 
27187,2348573 1776696 1424217 1432568 654736 
27501,2301756 1101023 1020875 436974 1057404 
27638,2222699 1930535 771416 2081639 289491 
27707,1211336 1472192 2832662 1967011 1281736 
27727,1140869 657183 1056502 79531 2791339 
27845,1244196 536047 784737 1053542 657183 
27931,2544454 800868 306427 713745 1125573 
28232,2546303 291669 2166540 2324766 1835742 
28739,2822465 930591 1766559 1136925 295473 
28801,2534594 1376234 1406238 2268961 2506278 
28972,1085517 2726122 2013744 2329357 106261 
29072,1074013 712901 1086695 1407200 1776696 
29146,2092656 1098302 2332561 1181656 1262099 
29212,612155 1521930 1126440 554226 1849280 
29340,2337857 2624498 2750844 1802557 1163816 
29449,1277973 2348573 712901 1386412 2002097 
29519,1162250 1244196 343377 784737 2791339 
30094,2712821 1910879 2129142 2463916 2567000 
30368,2778525 1244196 1386412 657183 2791339 
30774,2778525 1244196 1386412 657183 2791339 
30910,1165605 1695664 1244196 1386412 350611 
31318,1386412 2277810 266412 933025 1244196 
32111,2778525 1244196 1386412 657183 2791339 
32371,2602263 1910879 2129142 2463916 2567000 
32434,1765833 830372 2719617 1165605 1636910 
33119,2778525 1244196 1386412 657183 2791339 
