user_id,recommended_items
285,1898571 922410 1726380 2123252 357363 
902,2791339 657183 1162250 1386412 1443706 
948,1053542 1244196 2778525 657183 1386412 
1183,1096406 579292 2117630 2393265 77400 
1286,1262099 2571800 2337466 1941342 2513050 
1509,1865831 1686571 2546303 2086041 1566231 
1776,2468340 939717 2182289 20147 1701556 
1982,2465056 2431683 2759131 1777103 1696723 
2742,1563379 517907 226595 55061 968730 
3161,472040 1386412 278589 2348229 943964 
3256,1244196 784737 1069281 1576126 2313894 
3375,2778525 823512 538069 2310939 2545674 
3547,1364275 1886755 37332 21349 1580076 
3630,415358 2750191 447985 568191 2625619 
3806,902049 1432568 1750840 73218 2002097 
4607,219464 2094400 1085028 625475 605716 
5112,2778525 1244196 1140869 1092821 1165605 
5627,374376 2802026 2380306 1262099 1139128 
5686,926828 553187 2160707 475804 2418886 
5738,2778525 823512 2310939 538069 1244196 
5839,1069281 1443706 2313894 79531 1162250 
6442,1774071 1219386 801479 2526744 2435637 
7182,2014172 2687682 2489267 2003041 1822566 
7693,2126999 137428 64723 1700496 419497 
8316,2476988 499178 1982238 123885 848152 
9660,1386412 2227201 2380306 784737 951143 
9680,624750 2272823 1408883 2174115 851128 
10044,1208433 388367 2232786 81416 277068 
10316,784737 1386412 2002097 657183 1162250 
10469,2391945 2825431 1155746 2458140 116932 
10470,2154395 2686231 932913 315341 161347 
10870,2312156 2277911 636889 2473840 170520 
10956,300053 546579 192785 5964 2287483 
11027,522016 612412 95911 1576170 145591 
11380,434421 2200859 205039 1608366 1984327 
11423,151591 2107221 2205815 869566 1730302 
11805,1001431 764484 178439 1226034 1585675 
12046,1073372 878217 790953 114266 2123151 
12097,1386412 1092821 657183 784737 536047 
12233,2018729 525994 2091070 1291443 2103565 
12593,1216431 702963 1534045 2415538 2830138 
12626,1322673 2580699 2521535 2023091 1911499 
12630,1823509 784181 2393613 2669570 1717731 
12671,2453965 830631 2568608 789747 529889 
12689,1105190 2502279 269945 1508724 2646712 
12750,657183 1386412 1162250 2002097 2791339 
12852,406835 1972115 1496888 2143054 2485053 
13715,607544 2339612 354268 1783229 2590164 
14269,823512 1244196 1140869 1386412 1241609 
14624,468120 1443706 2313894 1069281 266412 
14792,1244196 2778525 468120 1140869 1069281 
14966,169068 1657452 908513 504015 2275702 
15006,723777 1499394 2427786 1876513 297118 
15100,715107 551635 632026 2520574 529619 
15549,1386412 784737 2002097 657183 823512 
15611,2002097 1386412 2501356 1695664 1664453 
16228,2162420 1337011 578109 2125319 1183354 
16874,1928254 2791339 2002097 536047 657183 
16971,1328711 2539956 929465 725769 298067 
