MAP	Std	a_sh	k
0.0	0.0	0.1	1000
1.38504155125e-05	2.39896233735e-05	0.1	500
4.17289706061e-05	4.62141269043e-05	0.1	200
8.08713376478e-05	0.000114818363312	0.1	100
3.46068660022e-05	5.99408502066e-05	0.1	50
0.0	0.0	0.5	1000
8.31024930748e-05	0.000143937740241	0.5	500
5.53709856035e-06	9.59053603305e-06	0.5	200
1.38427464009e-05	2.39763400826e-05	0.5	100
0.0	0.0	0.5	50
0.0	0.0	1.0	1000
8.31024930748e-05	0.000143937740241	1.0	500
0.0	0.0	1.0	200
0.0	0.0	1.0	100
3.46068660022e-05	5.99408502066e-05	1.0	50
0.0	0.0	2.0	1000
6.92520775623e-05	0.000119948116868	2.0	500
1.6149870801e-05	2.79723967631e-05	2.0	200
5.53709856035e-06	9.59053603305e-06	2.0	100
4.84572815147e-05	5.6654819792e-05	2.0	50
0.0	0.0	5.0	1000
0.0	0.0	5.0	500
0.0	0.0	5.0	200
6.92520775623e-05	0.000119948116868	5.0	100
3.46068660022e-05	5.99408502066e-05	5.0	50
7.8442229605e-05	0.000135865927135	10.0	1000
6.92520775623e-05	0.000119948116868	10.0	500
0.0	0.0	10.0	200
2.78862242052e-05	4.83003571547e-05	10.0	100
6.93101519418e-05	5.15573598437e-05	10.0	50
5.38793103448e-06	9.3321702994e-06	20.0	1000
6.92520775623e-06	1.19948116868e-05	20.0	500
9.23361034164e-06	1.5993082249e-05	20.0	200
0.0	0.0	20.0	100
0.0	0.0	20.0	50
1.34698275862e-05	2.33304257485e-05	50.0	1000
6.7349137931e-06	1.16652128743e-05	50.0	500
0.0	0.0	50.0	200
1.39431121026e-05	2.41501785774e-05	50.0	100
0.0	0.0	50.0	50
