Ratings from 0 to 1
MAP	Std	similarity	aa_sh	k_nn	alpha_ridge
0.0129432755014	0.0	CF	500	20000	9500
0.0134643779993	0.0	CF	500	20000	9750
0.0110732742709	0.0	CF	500	20000	10000
0.0142587978344	0.0	CF	500	20000	25000
0.0140414667159	0.0	CF	500	20000	50000
0.0130534022394	0.0	CF	500	20000	75000
0.0125739817891	0.0	CF	500	20000	100000
0.015056601452	0.0	CF	1000	20000	9500
0.0130066445183	0.0	CF	1000	20000	9750
0.0118101698044	0.0	CF	1000	20000	10000
0.0157722714409	0.0	CF	1000	20000	25000
0.0141406730651	0.0	CF	1000	20000	50000
0.0156746031746	0.0	CF	1000	20000	75000
0.0120035068291	0.0	CF	1000	20000	100000
0.0150761351052	0.0	CF	2000	20000	9500
0.0117021963824	0.0	CF	2000	20000	9750
0.013337332349	0.0	CF	2000	20000	10000
0.012719176818	0.0	CF	2000	20000	25000
0.0147466777409	0.0	CF	2000	20000	50000
0.0124606250769	0.0	CF	2000	20000	75000
0.0126162790698	0.0	CF	2000	20000	100000
